Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),7.968E+13,7.896E+13,7.966E+13,8.149E+13,8.337E+13,8.529E+13,8.725E+13,8.925E+13,9.131E+13,9.341E+13,9.555E+13,9.775E+13,1.000E+14,1.023E+14,1.047E+14,1.071E+14,1.095E+14,1.120E+14,1.146E+14,1.173E+14,1.200E+14,1.227E+14,1.255E+14,1.284E+14,1.314E+14,1.344E+14,1.375E+14,1.406E+14,1.439E+14,1.472E+14,1.506E+14,1.540E+14,,
coal (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
natural gas (BTU),6.862E+13,6.740E+13,6.720E+13,6.874E+13,7.032E+13,7.194E+13,7.359E+13,7.529E+13,7.702E+13,7.879E+13,8.060E+13,8.246E+13,8.435E+13,8.629E+13,8.828E+13,9.031E+13,9.238E+13,9.451E+13,9.668E+13,9.891E+13,1.012E+14,1.035E+14,1.059E+14,1.083E+14,1.108E+14,1.134E+14,1.160E+14,1.186E+14,1.214E+14,1.242E+14,1.270E+14,1.299E+14,,
petroleum diesel (BTU),5.486E+11,5.151E+11,5.071E+11,4.883E+11,4.702E+11,4.528E+11,4.361E+11,4.199E+11,4.044E+11,3.894E+11,3.750E+11,3.612E+11,3.478E+11,3.349E+11,3.225E+11,3.106E+11,2.991E+11,2.880E+11,2.774E+11,2.671E+11,2.572E+11,2.477E+11,2.386E+11,2.297E+11,2.212E+11,2.130E+11,2.052E+11,1.976E+11,1.903E+11,1.832E+11,1.764E+11,1.699E+11,,
heat (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
biomass (BTU),6.664E+12,7.112E+12,7.629E+12,7.728E+12,7.829E+12,7.931E+12,8.034E+12,8.138E+12,8.244E+12,8.351E+12,8.460E+12,8.570E+12,8.681E+12,8.794E+12,8.908E+12,9.024E+12,9.141E+12,9.260E+12,9.380E+12,9.502E+12,9.626E+12,9.751E+12,9.878E+12,1.001E+13,1.014E+13,1.027E+13,1.040E+13,1.054E+13,1.067E+13,1.081E+13,1.095E+13,1.110E+13,,
kerosene (BTU),3.840E+12,3.606E+12,3.549E+12,3.418E+12,3.292E+12,3.170E+12,3.053E+12,2.940E+12,2.831E+12,2.726E+12,2.625E+12,2.528E+12,2.435E+12,2.344E+12,2.258E+12,2.174E+12,2.094E+12,2.016E+12,1.942E+12,1.870E+12,1.801E+12,1.734E+12,1.670E+12,1.608E+12,1.549E+12,1.491E+12,1.436E+12,1.383E+12,1.332E+12,1.283E+12,1.235E+12,1.189E+12,,
heavy or residual fuel oil (BTU),3.180E+11,2.986E+11,2.939E+11,2.831E+11,2.726E+11,2.625E+11,2.528E+11,2.434E+11,2.344E+11,2.258E+11,2.174E+11,2.094E+11,2.016E+11,1.942E+11,1.870E+11,1.801E+11,1.734E+11,1.670E+11,1.608E+11,1.549E+11,1.491E+11,1.436E+11,1.383E+11,1.332E+11,1.282E+11,1.235E+11,1.189E+11,1.145E+11,1.103E+11,1.062E+11,1.023E+11,9.850E+10,,
LPG propane or butane (BTU),5.996E+13,5.631E+13,5.542E+13,5.337E+13,5.140E+13,4.950E+13,4.766E+13,4.590E+13,4.420E+13,4.257E+13,4.099E+13,3.948E+13,3.802E+13,3.661E+13,3.525E+13,3.395E+13,3.269E+13,3.148E+13,3.032E+13,2.920E+13,2.812E+13,2.708E+13,2.607E+13,2.511E+13,2.418E+13,2.329E+13,2.242E+13,2.159E+13,2.080E+13,2.003E+13,1.929E+13,1.857E+13,,
hydrogen (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
