Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),1.233E+14,1.261E+14,1.290E+14,1.320E+14,1.350E+14,1.381E+14,1.413E+14,1.445E+14,1.478E+14,1.512E+14,1.547E+14,1.583E+14,1.619E+14,1.657E+14,1.695E+14,1.734E+14,1.773E+14,1.814E+14,1.856E+14,1.899E+14,1.942E+14,1.987E+14,2.033E+14,2.079E+14,2.127E+14,2.176E+14,2.226E+14,2.277E+14,2.330E+14,2.383E+14,2.438E+14,2.494E+14,,
coal (BTU),4.468E+12,4.080E+12,3.725E+12,3.401E+12,3.105E+12,2.835E+12,2.588E+12,2.363E+12,2.157E+12,1.970E+12,1.798E+12,1.642E+12,1.499E+12,1.369E+12,1.249E+12,1.141E+12,1.042E+12,9.509E+11,8.682E+11,7.927E+11,7.237E+11,6.607E+11,6.033E+11,5.508E+11,5.029E+11,4.591E+11,4.192E+11,3.827E+11,3.494E+11,3.190E+11,2.913E+11,2.659E+11,,
natural gas (BTU),4.688E+13,4.796E+13,4.906E+13,5.019E+13,5.134E+13,5.252E+13,5.373E+13,5.497E+13,5.623E+13,5.752E+13,5.885E+13,6.020E+13,6.158E+13,6.300E+13,6.445E+13,6.593E+13,6.745E+13,6.900E+13,7.059E+13,7.221E+13,7.387E+13,7.557E+13,7.731E+13,7.909E+13,8.091E+13,8.277E+13,8.467E+13,8.662E+13,8.861E+13,9.065E+13,9.273E+13,9.487E+13,,
petroleum diesel (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
heat (BTU),9.004E+12,9.139E+12,9.276E+12,9.415E+12,9.557E+12,9.700E+12,9.845E+12,9.993E+12,1.014E+13,1.030E+13,1.045E+13,1.061E+13,1.077E+13,1.093E+13,1.109E+13,1.126E+13,1.143E+13,1.160E+13,1.177E+13,1.195E+13,1.213E+13,1.231E+13,1.249E+13,1.268E+13,1.287E+13,1.306E+13,1.326E+13,1.346E+13,1.366E+13,1.387E+13,1.407E+13,1.429E+13,,
biomass (BTU),4.441E+12,4.498E+12,4.557E+12,4.616E+12,4.676E+12,4.737E+12,4.798E+12,4.861E+12,4.924E+12,4.988E+12,5.053E+12,5.118E+12,5.185E+12,5.252E+12,5.321E+12,5.390E+12,5.460E+12,5.531E+12,5.603E+12,5.676E+12,5.749E+12,5.824E+12,5.900E+12,5.977E+12,6.054E+12,6.133E+12,6.213E+12,6.293E+12,6.375E+12,6.458E+12,6.542E+12,6.627E+12,,
kerosene (BTU),1.112E+13,1.071E+13,1.032E+13,9.934E+12,9.566E+12,9.212E+12,8.871E+12,8.543E+12,8.227E+12,7.923E+12,7.629E+12,7.347E+12,7.075E+12,6.814E+12,6.561E+12,6.319E+12,6.085E+12,5.860E+12,5.643E+12,5.434E+12,5.233E+12,5.039E+12,4.853E+12,4.673E+12,4.500E+12,4.334E+12,4.174E+12,4.019E+12,3.870E+12,3.727E+12,3.589E+12,3.457E+12,,
heavy or residual fuel oil (BTU),1.286E+12,1.238E+12,1.192E+12,1.148E+12,1.106E+12,1.065E+12,1.025E+12,9.875E+11,9.510E+11,9.158E+11,8.819E+11,8.493E+11,8.178E+11,7.876E+11,7.584E+11,7.304E+11,7.033E+11,6.773E+11,6.523E+11,6.281E+11,6.049E+11,5.825E+11,5.610E+11,5.402E+11,5.202E+11,5.010E+11,4.824E+11,4.646E+11,4.474E+11,4.308E+11,4.149E+11,3.995E+11,,
LPG propane or butane (BTU),1.202E+13,1.158E+13,1.115E+13,1.073E+13,1.034E+13,9.955E+12,9.587E+12,9.232E+12,8.890E+12,8.561E+12,8.245E+12,7.940E+12,7.646E+12,7.363E+12,7.090E+12,6.828E+12,6.575E+12,6.332E+12,6.098E+12,5.872E+12,5.655E+12,5.446E+12,5.244E+12,5.050E+12,4.863E+12,4.683E+12,4.510E+12,4.343E+12,4.183E+12,4.028E+12,3.879E+12,3.735E+12,,
hydrogen (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
