Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),1.439E+12,1.443E+12,1.598E+12,1.609E+12,1.620E+12,1.631E+12,1.643E+12,1.654E+12,1.666E+12,1.677E+12,1.689E+12,1.701E+12,1.713E+12,1.725E+12,1.737E+12,1.749E+12,1.761E+12,1.774E+12,1.786E+12,1.799E+12,1.811E+12,1.824E+12,1.837E+12,1.850E+12,1.863E+12,1.876E+12,1.889E+12,1.902E+12,1.915E+12,1.929E+12,1.942E+12,1.956E+12,,
coal (BTU),9.634E+11,9.372E+11,6.443E+11,5.882E+11,5.371E+11,4.903E+11,4.477E+11,4.087E+11,3.732E+11,3.407E+11,3.111E+11,2.840E+11,2.593E+11,2.367E+11,2.161E+11,1.973E+11,1.802E+11,1.645E+11,1.502E+11,1.371E+11,1.252E+11,1.143E+11,1.044E+11,9.527E+10,8.698E+10,7.942E+10,7.251E+10,6.620E+10,6.044E+10,5.518E+10,5.038E+10,4.600E+10,,
natural gas (BTU),2.878E+13,2.780E+13,2.918E+13,2.912E+13,2.906E+13,2.901E+13,2.895E+13,2.889E+13,2.883E+13,2.877E+13,2.872E+13,2.866E+13,2.860E+13,2.854E+13,2.849E+13,2.843E+13,2.837E+13,2.832E+13,2.826E+13,2.820E+13,2.815E+13,2.809E+13,2.803E+13,2.798E+13,2.792E+13,2.787E+13,2.781E+13,2.776E+13,2.770E+13,2.764E+13,2.759E+13,2.753E+13,,
petroleum diesel (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
heat (BTU),7.409E+12,7.130E+12,7.825E+12,7.833E+12,7.841E+12,7.849E+12,7.857E+12,7.864E+12,7.872E+12,7.880E+12,7.888E+12,7.896E+12,7.904E+12,7.912E+12,7.920E+12,7.928E+12,7.935E+12,7.943E+12,7.951E+12,7.959E+12,7.967E+12,7.975E+12,7.983E+12,7.991E+12,7.999E+12,8.007E+12,8.015E+12,8.023E+12,8.031E+12,8.039E+12,8.047E+12,8.055E+12,,
biomass (BTU),1.455E+12,1.494E+12,2.182E+12,2.294E+12,2.411E+12,2.534E+12,2.663E+12,2.799E+12,2.941E+12,3.091E+12,3.249E+12,3.415E+12,3.589E+12,3.772E+12,3.964E+12,4.166E+12,4.379E+12,4.602E+12,4.837E+12,5.084E+12,5.343E+12,5.615E+12,5.902E+12,6.203E+12,6.519E+12,6.851E+12,7.201E+12,7.568E+12,7.954E+12,8.360E+12,8.786E+12,9.234E+12,,
kerosene (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
heavy or residual fuel oil (BTU),7.613E+12,7.179E+12,7.166E+12,6.786E+12,6.426E+12,6.086E+12,5.763E+12,5.458E+12,5.168E+12,4.895E+12,4.635E+12,4.389E+12,4.157E+12,3.937E+12,3.728E+12,3.530E+12,3.343E+12,3.166E+12,2.998E+12,2.839E+12,2.689E+12,2.546E+12,2.411E+12,2.284E+12,2.163E+12,2.048E+12,1.939E+12,1.837E+12,1.739E+12,1.647E+12,1.560E+12,1.477E+12,,
LPG propane or butane (BTU),1.914E+12,1.804E+12,1.801E+12,1.706E+12,1.615E+12,1.530E+12,1.449E+12,1.372E+12,1.299E+12,1.230E+12,1.165E+12,1.103E+12,1.045E+12,9.895E+11,9.370E+11,8.874E+11,8.403E+11,7.958E+11,7.536E+11,7.137E+11,6.759E+11,6.400E+11,6.061E+11,5.740E+11,5.436E+11,5.148E+11,4.875E+11,4.616E+11,4.372E+11,4.140E+11,3.921E+11,3.713E+11,,
hydrogen (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
