Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),1.611E+13,1.622E+13,1.634E+13,1.645E+13,1.657E+13,1.668E+13,1.680E+13,1.692E+13,1.704E+13,1.715E+13,1.727E+13,1.740E+13,1.752E+13,1.764E+13,1.776E+13,1.789E+13,1.801E+13,1.814E+13,1.827E+13,1.839E+13,1.852E+13,1.865E+13,1.878E+13,1.891E+13,1.905E+13,1.918E+13,1.931E+13,1.945E+13,1.959E+13,1.972E+13,1.986E+13,,
coal (BTU),1.079E+13,9.847E+12,8.990E+12,8.208E+12,7.494E+12,6.842E+12,6.247E+12,5.703E+12,5.207E+12,4.754E+12,4.341E+12,3.963E+12,3.618E+12,3.303E+12,3.016E+12,2.754E+12,2.514E+12,2.295E+12,2.096E+12,1.913E+12,1.747E+12,1.595E+12,1.456E+12,1.329E+12,1.214E+12,1.108E+12,1.012E+12,9.237E+11,8.434E+11,7.700E+11,7.030E+11,,
natural gas (BTU),3.222E+14,3.216E+14,3.209E+14,3.203E+14,3.196E+14,3.190E+14,3.184E+14,3.177E+14,3.171E+14,3.165E+14,3.158E+14,3.152E+14,3.146E+14,3.139E+14,3.133E+14,3.127E+14,3.121E+14,3.114E+14,3.108E+14,3.102E+14,3.096E+14,3.089E+14,3.083E+14,3.077E+14,3.071E+14,3.065E+14,3.059E+14,3.053E+14,3.046E+14,3.040E+14,3.034E+14,,
petroleum diesel (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
heat (BTU),8.295E+13,8.303E+13,8.312E+13,8.320E+13,8.328E+13,8.336E+13,8.345E+13,8.353E+13,8.361E+13,8.370E+13,8.378E+13,8.387E+13,8.395E+13,8.403E+13,8.412E+13,8.420E+13,8.429E+13,8.437E+13,8.445E+13,8.454E+13,8.462E+13,8.471E+13,8.479E+13,8.488E+13,8.496E+13,8.505E+13,8.513E+13,8.522E+13,8.530E+13,8.539E+13,8.547E+13,,
biomass (BTU),1.628E+13,1.711E+13,1.799E+13,1.890E+13,1.987E+13,2.088E+13,2.195E+13,2.307E+13,2.424E+13,2.548E+13,2.678E+13,2.814E+13,2.958E+13,3.109E+13,3.267E+13,3.434E+13,3.609E+13,3.793E+13,3.987E+13,4.190E+13,4.404E+13,4.628E+13,4.864E+13,5.112E+13,5.373E+13,5.647E+13,5.935E+13,6.238E+13,6.556E+13,6.890E+13,7.242E+13,,
kerosene (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
heavy or residual fuel oil (BTU),8.523E+13,8.071E+13,7.643E+13,7.238E+13,6.855E+13,6.491E+13,6.147E+13,5.821E+13,5.513E+13,5.221E+13,4.944E+13,4.682E+13,4.434E+13,4.199E+13,3.976E+13,3.766E+13,3.566E+13,3.377E+13,3.198E+13,3.029E+13,2.868E+13,2.716E+13,2.572E+13,2.436E+13,2.307E+13,2.184E+13,2.069E+13,1.959E+13,1.855E+13,1.757E+13,1.664E+13,,
LPG propane or butane (BTU),2.142E+13,2.029E+13,1.921E+13,1.819E+13,1.723E+13,1.632E+13,1.545E+13,1.463E+13,1.386E+13,1.312E+13,1.243E+13,1.177E+13,1.115E+13,1.055E+13,9.995E+12,9.465E+12,8.964E+12,8.488E+12,8.039E+12,7.613E+12,7.209E+12,6.827E+12,6.465E+12,6.123E+12,5.798E+12,5.491E+12,5.200E+12,4.924E+12,4.663E+12,4.416E+12,4.182E+12,,
hydrogen (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
