Year,heating,cooling & ventilation,envelope,lighting,appliances,other,,
electricity (BTU),1.23E+14,1.88E+14,0.00E+00,1.16E+14,8.21E+13,4.93E+13,,
coal (BTU),4.47E+12,0.00E+00,0.00E+00,0.00E+00,3.38E+12,0.00E+00,,
natural gas (BTU),4.69E+13,1.27E+13,0.00E+00,0.00E+00,1.13E+14,0.00E+00,,
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
heat (BTU),9.00E+12,1.23E+12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
biomass (BTU),4.44E+12,2.38E+10,0.00E+00,3.97E+11,0.00E+00,1.59E+10,,
kerosene (BTU),1.11E+13,0.00E+00,0.00E+00,0.00E+00,1.59E+12,0.00E+00,,
heavy or residual fuel oil (BTU),1.29E+12,0.00E+00,0.00E+00,0.00E+00,1.71E+11,0.00E+00,,
LPG propane or butane (BTU),1.20E+13,0.00E+00,0.00E+00,0.00E+00,3.96E+13,0.00E+00,,
hydrogen (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
