MW,urban residential,rural residential,commercial
hard coal,0.00 ,0.00 ,0.00 
natural gas nonpeaker,0.00 ,0.00 ,0.00 
nuclear,0.00 ,0.00 ,0.00 
hydro,0.00 ,0.09 ,1.35 
onshore wind,0.00 ,8.47 ,4.79 
solar PV,525.92 ,85.26 ,483.43 
solar thermal,0.00 ,0.00 ,0.00 
biomass,0.00 ,0.00 ,0.00 
geothermal,0.00 ,0.00 ,0.00 
petroleum,0.00 ,0.00 ,0.00 
natural gas peaker,0.00 ,0.00 ,0.00 
lignite,0.00 ,0.00 ,0.00 
offshore wind,0.00 ,0.00 ,0.00 
crude oil,0.00 ,0.00 ,0.00 
heavy or residual fuel oil,0.00 ,0.00 ,0.00 
municipal solid waste,0.00 ,0.00 ,0.00 
