Expected Capacity Factor (dimensionless),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463,0.70093463
natural gas nonpeaker,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124,0.38325124
nuclear,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993,0.720343993
hydro,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422,0.155321422
onshore wind,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956,0.204736956
solar PV,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326,0.126070326
solar thermal,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
biomass,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256,0.378513256
geothermal,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
petroleum,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983,0.312694983
natural gas peaker,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
lignite,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
offshore wind,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
crude oil,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
heavy or residual fuel oil,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557,0.08089557
municipal solid waste,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
