Heat Rate by Electricity Fuel BTU/(MW*hour),preexisting,preexisting nonretiring (not used in U.S. dataset),newly built
hard coal,9346805,0,6917561
natural gas nonpeaker,7267306,0,7267306
nuclear,8446942,0,8153419
hydro,0,0,0
wind,0,0,0
solar PV,0,0,0
solar thermal,0,0,0
biomass,10011409,0,10011409
geothermal,0,0,0
petroleum,5688471,0,5688471
natural gas peaker,9381404,0,8902000
lignite,8480903,0,6276708
offshore wind,0,0,0
crude oil,7713158,0,7713158
heavy or residual fuel oil,11119958,0,11119958
municipal solid waste,18894208,0,9482232
