Fixed O&M ($/MW) - Newly Built,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505
natural gas nonpeaker,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152
nuclear,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485
hydro,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178,39178
onshore wind,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445
solar PV,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105
solar thermal,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920,58920
biomass,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551
geothermal,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078,123078
petroleum,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090
natural gas peaker,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768,18768
lignite,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505
offshore wind,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484,84484
crude oil,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090
heavy or residual fuel oil,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090
municipal solid waste,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
