Unit: $/MW,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Hard Coal,1219138.063,1263547.758,1307957.454,1352367.15,1396776.845,1441186.541,1485596.237,1530005.933,1574415.628,1618825.324,1663235.02,1707644.716,1752054.411,1796464.107,1840873.803,1885283.499,1929693.194,1974102.89,2018512.586,2062922.282,2107331.977,2151741.673,2196151.369,2240561.064,2284970.76,2329380.456,2373790.152,2418199.847,2462609.543,2507019.239,2551428.935
Natural Gas Nonpeaker,796575.1335,803779.1338,810983.1342,818187.1345,825391.1348,832595.1352,839799.1355,847003.1359,854207.1362,861411.1365,868615.1369,875819.1372,883023.1376,890227.1379,897431.1382,904635.1386,911839.1389,919043.1392,926247.1396,933451.1399,940655.1403,947859.1406,955063.1409,962267.1413,969471.1416,976675.142,983879.1423,991083.1426,998287.143,1005491.143,1012695.144
Nuclear,3841949.56,3936533.847,4031118.133,4125702.42,4220286.707,4314870.994,4409455.281,4504039.568,4598623.854,4693208.141,4787792.428,4882376.715,4976961.002,5071545.288,5166129.575,5260713.862,5355298.149,5449882.436,5544466.722,5639051.009,5733635.296,5828219.583,5922803.87,6017388.156,6111972.443,6206556.73,6301141.017,6395725.304,6490309.59,6584893.877,6679478.164
Hydro,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798,821001.7798
Onshore Wind,2137808.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV,1324349.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar Thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biomass,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745,3240387.745
Geothermal,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000,8208000
Petroleum,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645
Natural Gas Peaker,557602.5934,562645.3937,567688.1939,572730.9942,577773.7944,582816.5946,587859.3949,592902.1951,597944.9953,602987.7956,608030.5958,613073.3961,618116.1963,623158.9965,628201.7968,633244.597,638287.3972,643330.1975,648372.9977,653415.7979,658458.5982,663501.3984,668544.1987,673586.9989,678629.7991,683672.5994,688715.3996,693758.1998,698801.0001,703843.8003,708886.6006
Lignite,1219138.063,1263547.758,1307957.454,1352367.15,1396776.845,1441186.541,1485596.237,1530005.933,1574415.628,1618825.324,1663235.02,1707644.716,1752054.411,1796464.107,1840873.803,1885283.499,1929693.194,1974102.89,2018512.586,2062922.282,2107331.977,2151741.673,2196151.369,2240561.064,2284970.76,2329380.456,2373790.152,2418199.847,2462609.543,2507019.239,2551428.935
Offshore Wind,3641000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crude Oil,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645
Heavy or Residual Fuel Oil,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645,1606605.645
Municipal Solid Waste,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368,4068141.368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
