Unit: dimensionless (peak time capacity factors),summer,winter
hard coal,0.9500,0.9500
natural gas nonpeaker,0.9500,0.9500
nuclear,0.9500,0.9500
hydro,0.9500,0.9500
onshore wind,0.1349,0.3878
solar pv,0.1021,0.0637
solar thermal,0.9500,0.9500
biomass,0.9500,0.9500
geothermal ,0.9500,0.9500
petroleum,0.9500,0.9500
natural gas nonpeaker,0.9500,0.9500
lignite,0.9500,0.9500
offshore wind,0.9500,0.9500
crude oil,0.9500,0.9500
heavy or residual fuel oil,0.9500,0.9500
municipal solid waste,0.9500,0.9500
