Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
hard coal ($/MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
natural gas nonpeaker ($/MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
nuclear ($/MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
hydro ($/MW),51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,51279,,
onshore wind ($/MW),59933,59119,58340,57597,56890,56220,55588,54951,54311,53668,53023,52376,51737,51106,50483,49867,49259,48658,48065,47479,46900,46328,46328,46328,46328,46328,46328,46328,46328,46328,46328,,
solar PV ($/MW),33294,32129,30995,29894,28829,27803,26817,25879,24991,24155,23373,22647,21944,21263,20602,19963,19343,18742,18160,17597,17050,16521,16521,16521,16521,16521,16521,16521,16521,16521,16521,,
solar thermal ($/MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
biomass ($/MW),68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,68680,,
geothermal ($/MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
petroleum ($/MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
natural gas peaker ($/MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
lignite ($/MW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
offshore wind ($/MW),123020,119806,116677,113630,110662,107772,104957,102215,99546,96946,94414,91948,89546,87207,84930,82711,80551,78447,76398,74403,72459,70567,70567,70567,70567,70567,70567,70567,70567,70567,70567,,
crude oil ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heavy or residual fuel oil ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
municipal solid waste ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
