Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
agriculture and forestry 01T03,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,5.E+11,5.E+11,,,
coal mining 05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
oil and gas extraction 06,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,,,
other mining and quarrying 07T08,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,1.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,2.E+11,,,
food beverage and tobacco 10T12,1.E+12,1.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,2.E+12,,,
textiles apparel and leather 13T15,2.E+11,2.E+11,2.E+11,2.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,,,
wood products 16,1.E+10,1.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,2.E+10,,,
pulp paper and printing 17T18,3.E+11,3.E+11,3.E+11,3.E+11,3.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,4.E+11,,,
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
chemicals 20,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,1.E+15,2.E+15,2.E+15,2.E+15,2.E+15,2.E+15,2.E+15,2.E+15,,,
rubber and plastic products 22,6.E+14,7.E+14,7.E+14,7.E+14,7.E+14,7.E+14,7.E+14,7.E+14,7.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,8.E+14,,,
glass and glass products 231,3.E+10,3.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,4.E+10,,,
cement and other nonmetallic minerals 239,9.E+11,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,,,
iron and steel 241,2.E+12,2.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,1.E+12,,,
other metals 242,9.40E+11,9.53E+11,9.67E+11,9.80E+11,9.93E+11,1.01E+12,1.01E+12,1.01E+12,1.01E+12,1.01E+12,1.01E+12,1.00E+12,1.00E+12,9.98E+11,9.96E+11,9.94E+11,9.94E+11,9.94E+11,9.94E+11,9.94E+11,9.94E+11,9.91E+11,9.90E+11,9.89E+11,9.88E+11,9.87E+11,9.86E+11,9.86E+11,9.85E+11,9.84E+11,9.83E+11,,,
metal products except machinery and vehicles 25,7.99E+12,8.10E+12,8.22E+12,8.33E+12,8.44E+12,8.56E+12,8.56E+12,8.55E+12,8.55E+12,8.55E+12,8.54E+12,8.52E+12,8.51E+12,8.49E+12,8.47E+12,8.45E+12,8.45E+12,8.45E+12,8.45E+12,8.45E+12,8.45E+12,8.42E+12,8.42E+12,8.41E+12,8.40E+12,8.39E+12,8.39E+12,8.38E+12,8.37E+12,8.36E+12,8.35E+12,,,
computers and electronics 26,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
appliances and electrical equipment 27,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
other machinery 28,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
road vehicles 29,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
nonroad vehicles 30,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
other manufacturing 31T33,5.E+13,5.E+13,5.E+13,5.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,6.E+13,7.E+13,7.E+13,7.E+13,7.E+13,7.E+13,,,
energy pipelines and gas processing 352T353,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,4.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,5.E+12,,,
