Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
agriculture and forestry 01T03,2.59E+13,2.67E+13,2.75E+13,2.83E+13,2.91E+13,2.99E+13,3.07E+13,3.15E+13,3.23E+13,3.31E+13,3.39E+13,3.46E+13,3.53E+13,3.61E+13,3.68E+13,3.75E+13,3.82E+13,3.90E+13,3.97E+13,4.04E+13,4.12E+13,4.19E+13,4.26E+13,4.33E+13,4.41E+13,4.48E+13,4.55E+13,4.62E+13,4.70E+13,4.77E+13,4.84E+13,,,
coal mining 05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
oil and gas extraction 06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
other mining and quarrying 07T08,1.15E+10,1.19E+10,1.23E+10,1.26E+10,1.30E+10,1.33E+10,1.37E+10,1.41E+10,1.44E+10,1.48E+10,1.51E+10,1.55E+10,1.58E+10,1.61E+10,1.64E+10,1.67E+10,1.71E+10,1.74E+10,1.77E+10,1.80E+10,1.84E+10,1.87E+10,1.90E+10,1.93E+10,1.97E+10,2.00E+10,2.03E+10,2.06E+10,2.10E+10,2.13E+10,2.16E+10,,,
food beverage and tobacco 10T12,9.78E+12,1.01E+13,1.04E+13,1.07E+13,1.10E+13,1.13E+13,1.16E+13,1.19E+13,1.22E+13,1.25E+13,1.28E+13,1.31E+13,1.34E+13,1.36E+13,1.39E+13,1.42E+13,1.44E+13,1.47E+13,1.50E+13,1.53E+13,1.56E+13,1.58E+13,1.61E+13,1.64E+13,1.66E+13,1.69E+13,1.72E+13,1.75E+13,1.77E+13,1.80E+13,1.83E+13,,,
textiles apparel and leather 13T15,2.11E+13,2.18E+13,2.24E+13,2.31E+13,2.37E+13,2.44E+13,2.50E+13,2.57E+13,2.63E+13,2.70E+13,2.76E+13,2.82E+13,2.88E+13,2.94E+13,3.00E+13,3.06E+13,3.12E+13,3.18E+13,3.24E+13,3.30E+13,3.36E+13,3.41E+13,3.47E+13,3.53E+13,3.59E+13,3.65E+13,3.71E+13,3.77E+13,3.83E+13,3.89E+13,3.95E+13,,,
wood products 16,1.30E+13,1.34E+13,1.38E+13,1.42E+13,1.46E+13,1.50E+13,1.54E+13,1.58E+13,1.62E+13,1.66E+13,1.71E+13,1.74E+13,1.78E+13,1.81E+13,1.85E+13,1.89E+13,1.92E+13,1.96E+13,2.00E+13,2.03E+13,2.07E+13,2.11E+13,2.14E+13,2.18E+13,2.22E+13,2.25E+13,2.29E+13,2.33E+13,2.36E+13,2.40E+13,2.43E+13,,,
pulp paper and printing 17T18,1.15E+14,1.19E+14,1.23E+14,1.26E+14,1.30E+14,1.33E+14,1.37E+14,1.41E+14,1.44E+14,1.48E+14,1.51E+14,1.55E+14,1.58E+14,1.61E+14,1.64E+14,1.67E+14,1.71E+14,1.74E+14,1.77E+14,1.80E+14,1.84E+14,1.87E+14,1.90E+14,1.93E+14,1.97E+14,2.00E+14,2.03E+14,2.06E+14,2.10E+14,2.13E+14,2.16E+14,,,
refined petroleum and coke 19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
chemicals 20,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
