Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
agriculture and forestry 01T03,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,,,
coal mining 05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
oil and gas extraction 06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
other mining and quarrying 07T08,0,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,0.E+00,,,
food beverage and tobacco 10T12,1.E+02,1.E+02,1.E+02,1.E+02,1.E+02,1.E+02,1.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,2.E+02,,,
textiles apparel and leather 13T15,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,,,
wood products 16,9.E+00,9.E+00,9.E+00,9.E+00,9.E+00,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,1.E+01,,,
pulp paper and printing 17T18,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,3.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,4.E+02,,,
refined petroleum and coke 19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
chemicals 20,1.E+03,1.E+03,1.E+03,1.E+03,1.E+03,1.E+03,1.E+03,1.E+03,1.E+03,1.E+03,1.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,2.E+03,,,
