Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
agriculture and forestry 01T03,2.52E+09,2.33E+09,2.15E+09,1.96E+09,1.78E+09,1.59E+09,1.62E+09,1.64E+09,1.67E+09,1.70E+09,1.72E+09,1.75E+09,1.78E+09,1.81E+09,1.84E+09,1.87E+09,1.90E+09,1.93E+09,1.96E+09,1.99E+09,2.03E+09,2.05E+09,2.08E+09,2.11E+09,2.14E+09,2.17E+09,2.21E+09,2.24E+09,2.27E+09,2.30E+09,2.33E+09,,,
coal mining 05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
oil and gas extraction 06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
other mining and quarrying 07T08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
food beverage and tobacco 10T12,4.99E+13,4.62E+13,4.26E+13,3.89E+13,3.52E+13,3.15E+13,3.20E+13,3.26E+13,3.31E+13,3.36E+13,3.42E+13,3.47E+13,3.53E+13,3.59E+13,3.64E+13,3.70E+13,3.76E+13,3.82E+13,3.89E+13,3.95E+13,4.01E+13,4.07E+13,4.13E+13,4.19E+13,4.25E+13,4.31E+13,4.37E+13,4.43E+13,4.49E+13,4.55E+13,4.61E+13,,,
textiles apparel and leather 13T15,1.60E+13,1.49E+13,1.37E+13,1.25E+13,1.13E+13,1.01E+13,1.03E+13,1.05E+13,1.06E+13,1.08E+13,1.10E+13,1.12E+13,1.13E+13,1.15E+13,1.17E+13,1.19E+13,1.21E+13,1.23E+13,1.25E+13,1.27E+13,1.29E+13,1.31E+13,1.33E+13,1.35E+13,1.36E+13,1.38E+13,1.40E+13,1.42E+13,1.44E+13,1.46E+13,1.48E+13,,,
wood products 16,1.66E+12,1.54E+12,1.41E+12,1.29E+12,1.17E+12,1.05E+12,1.06E+12,1.08E+12,1.10E+12,1.12E+12,1.14E+12,1.15E+12,1.17E+12,1.19E+12,1.21E+12,1.23E+12,1.25E+12,1.27E+12,1.29E+12,1.31E+12,1.33E+12,1.35E+12,1.37E+12,1.39E+12,1.41E+12,1.43E+12,1.45E+12,1.47E+12,1.49E+12,1.51E+12,1.53E+12,,,
pulp paper and printing 17T18,1.80E+13,1.67E+13,1.53E+13,1.40E+13,1.27E+13,1.13E+13,1.15E+13,1.17E+13,1.19E+13,1.21E+13,1.23E+13,1.25E+13,1.27E+13,1.29E+13,1.31E+13,1.33E+13,1.35E+13,1.38E+13,1.40E+13,1.42E+13,1.45E+13,1.47E+13,1.49E+13,1.51E+13,1.53E+13,1.55E+13,1.57E+13,1.60E+13,1.62E+13,1.64E+13,1.66E+13,,,
refined petroleum and coke 19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
chemicals 20,1.25E+14,1.17E+14,1.10E+14,1.03E+14,9.59E+13,8.88E+13,9.07E+13,9.27E+13,9.47E+13,9.66E+13,9.86E+13,9.95E+13,1.00E+14,1.01E+14,1.02E+14,1.03E+14,1.03E+14,1.04E+14,1.04E+14,1.04E+14,1.05E+14,1.06E+14,1.06E+14,1.07E+14,1.07E+14,1.08E+14,1.08E+14,1.09E+14,1.10E+14,1.10E+14,1.11E+14,,,
rubber and plastic products 22,1.31E+14,1.24E+14,1.16E+14,1.09E+14,1.01E+14,9.35E+13,9.56E+13,9.76E+13,9.97E+13,1.02E+14,1.04E+14,1.05E+14,1.06E+14,1.07E+14,1.08E+14,1.09E+14,1.09E+14,1.09E+14,1.10E+14,1.10E+14,1.10E+14,1.11E+14,1.12E+14,1.13E+14,1.13E+14,1.14E+14,1.14E+14,1.15E+14,1.15E+14,1.16E+14,1.17E+14,,,
glass and glass products 231,1.44E+13,1.33E+13,1.23E+13,1.12E+13,1.01E+13,9.08E+12,9.24E+12,9.39E+12,9.55E+12,9.70E+12,9.86E+12,1.00E+13,1.02E+13,1.03E+13,1.05E+13,1.07E+13,1.08E+13,1.10E+13,1.12E+13,1.14E+13,1.16E+13,1.17E+13,1.19E+13,1.21E+13,1.23E+13,1.24E+13,1.26E+13,1.28E+13,1.29E+13,1.31E+13,1.33E+13,,,
cement and other nonmetallic minerals 239,2.24E+13,2.07E+13,1.91E+13,1.74E+13,1.58E+13,1.41E+13,1.44E+13,1.46E+13,1.48E+13,1.51E+13,1.53E+13,1.56E+13,1.58E+13,1.61E+13,1.63E+13,1.66E+13,1.68E+13,1.71E+13,1.74E+13,1.77E+13,1.80E+13,1.82E+13,1.85E+13,1.88E+13,1.90E+13,1.93E+13,1.96E+13,1.98E+13,2.01E+13,2.04E+13,2.07E+13,,,
iron and steel 241,1.16E+14,1.07E+14,9.79E+13,8.89E+13,7.99E+13,7.08E+13,7.14E+13,7.19E+13,7.24E+13,7.30E+13,7.35E+13,7.42E+13,7.48E+13,7.54E+13,7.60E+13,7.67E+13,7.72E+13,7.77E+13,7.82E+13,7.87E+13,7.92E+13,7.99E+13,8.05E+13,8.10E+13,8.16E+13,8.21E+13,8.27E+13,8.33E+13,8.38E+13,8.44E+13,8.50E+13,,,
other metals 242,1.57E+13,1.46E+13,1.35E+13,1.24E+13,1.14E+13,1.03E+13,1.04E+13,1.05E+13,1.06E+13,1.07E+13,1.08E+13,1.09E+13,1.09E+13,1.10E+13,1.10E+13,1.11E+13,1.11E+13,1.11E+13,1.12E+13,1.12E+13,1.12E+13,1.13E+13,1.13E+13,1.14E+13,1.14E+13,1.14E+13,1.15E+13,1.15E+13,1.16E+13,1.16E+13,1.16E+13,,,
metal products except machinery and vehicles 25,2.26E+13,2.11E+13,1.95E+13,1.80E+13,1.64E+13,1.48E+13,1.50E+13,1.51E+13,1.53E+13,1.54E+13,1.56E+13,1.57E+13,1.57E+13,1.58E+13,1.59E+13,1.60E+13,1.60E+13,1.61E+13,1.61E+13,1.61E+13,1.62E+13,1.63E+13,1.63E+13,1.64E+13,1.65E+13,1.65E+13,1.66E+13,1.66E+13,1.67E+13,1.67E+13,1.68E+13,,,
computers and electronics 26,7.08E+13,6.52E+13,5.97E+13,5.41E+13,4.85E+13,4.29E+13,4.38E+13,4.47E+13,4.56E+13,4.65E+13,4.74E+13,4.82E+13,4.90E+13,4.98E+13,5.06E+13,5.14E+13,5.23E+13,5.31E+13,5.40E+13,5.48E+13,5.57E+13,5.65E+13,5.73E+13,5.81E+13,5.90E+13,5.98E+13,6.06E+13,6.15E+13,6.23E+13,6.31E+13,6.40E+13,,,
appliances and electrical equipment 27,1.04E+13,9.60E+12,8.78E+12,7.96E+12,7.14E+12,6.32E+12,6.45E+12,6.58E+12,6.71E+12,6.84E+12,6.97E+12,7.09E+12,7.21E+12,7.33E+12,7.45E+12,7.57E+12,7.69E+12,7.82E+12,7.94E+12,8.07E+12,8.19E+12,8.31E+12,8.43E+12,8.55E+12,8.68E+12,8.80E+12,8.92E+12,9.05E+12,9.17E+12,9.29E+12,9.41E+12,,,
other machinery 28,8.28E+12,7.63E+12,6.97E+12,6.32E+12,5.67E+12,5.02E+12,5.12E+12,5.23E+12,5.33E+12,5.43E+12,5.54E+12,5.63E+12,5.73E+12,5.82E+12,5.92E+12,6.01E+12,6.11E+12,6.21E+12,6.31E+12,6.41E+12,6.51E+12,6.60E+12,6.70E+12,6.80E+12,6.90E+12,6.99E+12,7.09E+12,7.19E+12,7.29E+12,7.38E+12,7.48E+12,,,
road vehicles 29,4.35E+13,4.01E+13,3.66E+13,3.32E+13,2.98E+13,2.64E+13,2.69E+13,2.75E+13,2.80E+13,2.86E+13,2.91E+13,2.96E+13,3.01E+13,3.06E+13,3.11E+13,3.16E+13,3.21E+13,3.26E+13,3.32E+13,3.37E+13,3.42E+13,3.47E+13,3.52E+13,3.57E+13,3.62E+13,3.67E+13,3.73E+13,3.78E+13,3.83E+13,3.88E+13,3.93E+13,,,
nonroad vehicles 30,4.84E+12,4.46E+12,4.08E+12,3.70E+12,3.32E+12,2.94E+12,3.00E+12,3.06E+12,3.12E+12,3.18E+12,3.24E+12,3.30E+12,3.35E+12,3.41E+12,3.46E+12,3.52E+12,3.58E+12,3.63E+12,3.69E+12,3.75E+12,3.81E+12,3.86E+12,3.92E+12,3.98E+12,4.03E+12,4.09E+12,4.15E+12,4.21E+12,4.26E+12,4.32E+12,4.38E+12,,,
other manufacturing 31T33,2.35E+13,2.18E+13,2.00E+13,1.83E+13,1.66E+13,1.48E+13,1.51E+13,1.53E+13,1.56E+13,1.58E+13,1.61E+13,1.63E+13,1.66E+13,1.69E+13,1.71E+13,1.74E+13,1.77E+13,1.80E+13,1.83E+13,1.86E+13,1.89E+13,1.91E+13,1.94E+13,1.97E+13,2.00E+13,2.03E+13,2.06E+13,2.08E+13,2.11E+13,2.14E+13,2.17E+13,,,
energy pipelines and gas processing 352T353,4.62E+12,4.65E+12,4.68E+12,4.72E+12,4.75E+12,4.78E+12,4.87E+12,4.95E+12,5.04E+12,5.13E+12,5.22E+12,5.28E+12,5.34E+12,5.40E+12,5.47E+12,5.53E+12,5.64E+12,5.74E+12,5.85E+12,5.95E+12,6.06E+12,6.11E+12,6.19E+12,6.28E+12,6.37E+12,6.46E+12,6.54E+12,6.63E+12,6.72E+12,6.80E+12,6.89E+12,,,
water and waste 36T39,5.51E+12,5.51E+12,5.52E+12,5.52E+12,5.53E+12,5.53E+12,5.54E+12,5.55E+12,5.55E+12,5.56E+12,5.56E+12,5.57E+12,5.57E+12,5.58E+12,5.58E+12,5.59E+12,5.60E+12,5.60E+12,5.61E+12,5.61E+12,5.62E+12,5.59E+12,5.56E+12,5.53E+12,5.51E+12,5.48E+12,5.45E+12,5.42E+12,5.40E+12,5.37E+12,5.34E+12,,,
