Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,3399999.969,8040000.102,12680000.24,17320000.37,21960000.5,26600000.64,21280000.51,15960000.38,10640000.26,5320000.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,1812229988,1449783990,1087337993,724891995.2,362445997.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,2920000.043,2336000.034,1752000.026,1168000.017,584000.0085,0,630000.0223,1260000.045,1890000.067,2520000.089,3150000.111,3128000.071,3106000.031,3083999.991,3061999.951,3039999.91,2431999.928,1823999.946,1215999.964,607999.9821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,0,0,0,0,0,6301999.929,12603999.86,18905999.79,25207999.72,31509999.64,25207999.72,18905999.79,12603999.86,6301999.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,61901402.66,123802805.3,185704208,247605610.6,309507013.3,253005610.6,196504208,140002805.3,83501402.7,27000000.05,21600000.04,16200000.03,10800000.02,5400000.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,5769999.916,5829999.918,5889999.92,5949999.922,6009999.925,6069999.927,5369999.963,4669999.998,3970000.034,3270000.07,2570000.106,2056000.085,1542000.064,1028000.042,514000.0212,0,78457000.2,156914000.4,235371000.6,313828000.8,392285001,391492201,390699401,389906601,389113801.1,388321001.1,387278001.3,386235001.5,385192001.7,384149001.9,383106002.1,381508399.7,379910797.3,378313195,376715592.6,375117990.2
-650,-600,0,0,0,0,0,0,0,0,0,0,0,1348000.023,2696000.047,4044000.07,5392000.094,6740000.117,6754000.06,6768000.003,6781999.946,6795999.889,6809999.832,6825999.844,6841999.857,6857999.87,6873999.882,6889999.895,5511999.916,4133999.937,2755999.958,1377999.979,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395999.971,2791999.941,4187999.912,5583999.882,6979999.853,6995999.865,7011999.878,7027999.891,7043999.904,7059999.916
-550,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-500,-450,0,0,0,0,0,0,376733996.2,753467992.4,1130201989,1506935985,1883669981,1506935985,1130201989,753467992.4,376733996.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,58868800.99,117737602,176606403,235475204,294344004.9,238275204,182206403,126137602.1,70068801.14,14000000.19,14000000.19,14000000.19,14000000.19,14000000.19,14000000.19,14000000.19,14000000.19,14000000.19,14000000.19,14000000.19,14020000.16,14040000.13,14060000.1,14080000.07,14100000.04
-400,-350,445225014.1,356180011.3,267135008.5,178090005.6,89045002.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,63748401.59,127496803.2,191245204.8,254993606.4,318742007.9,257893606.4,197045204.9,136196803.4,75348401.88,14500000.36,11600000.29,8700000.217,5800000.145,2900000.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480999983.8,961999967.7,1442999952,1923999935,2404999919,2341799950,2278599981,2215400012,2152200043,2089000074,2036200068,1983400062,1930600055,1877800049,1825000043
