Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,0,0,0,0,0,0,0,0,0,0,6614047935,13228095870,19842143805,26456191740,33070239675,26456191740,19842143805,13228095870,6614047935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,0,0,0,0,0,6447582172,13080735913,19890950162,26870226492,34011041084,27208832867,20406624650,13604416433,6802208217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,0,6950719832,13901439663,20852159495,27802879327,32452507084,26353405155,20049488554,13550150908,6864220052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19153119523,38306239047,57459358570,76612478094,95765597617,95601629883,95437662149,95273694414,95109726680,94945758945
-40,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19415871645,38831743290,58247614935,77663486580,97079358225,96975870430,96872382634,96768894839,96665407043,96561919248,77249535398,57937151549,38624767699,19312383850,0,0,0,0,0,0
-30,-20,0,0,0,0,0,0,0,0,0,0,0,78561729970,1.57123E+11,2.35685E+11,3.14247E+11,3.92809E+11,3.14247E+11,2.35685E+11,1.57123E+11,78561729970,0,0,0,0,0,0,5888288102,11776576204,17664864306,23553152408,29441440510,29180032298,28918624086,28657215873,28395807661,28134399449
-20,-10,4.28611E+11,4.28809E+11,4.29008E+11,4.29207E+11,4.29406E+11,4.0116E+11,4.07189E+11,4.13029E+11,4.18689E+11,4.24178E+11,4.29503E+11,3.50673E+11,2.71843E+11,1.93013E+11,1.14183E+11,35352800062,34676543878,34000287694,33324031510,32647775326,31971519142,31725343305,31479167468,31232991631,30986815793,30740639956,24592511965,18444383974,12296255982,6148127991,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78228639404,1.56457E+11,2.34686E+11,3.12915E+11,3.91143E+11,3.90726E+11,3.90309E+11,3.89891E+11,3.89474E+11,3.89057E+11,3.88414E+11,3.87772E+11,3.8713E+11,3.86488E+11,3.85846E+11,3.85185E+11,3.84525E+11,3.83865E+11,3.83205E+11,3.82545E+11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,10,2.28883E+11,2.28566E+11,2.28249E+11,2.27932E+11,2.27614E+11,2.12248E+11,2.1511E+11,2.17863E+11,2.20512E+11,2.23062E+11,2.25516E+11,1.95656E+11,1.65795E+11,1.35934E+11,1.06073E+11,76212641076,75724320403,75235999729,74747679055,74259358381,73771037707,73272638156,72774238605,72275839054,71777439503,71279039952,70760704359,70242368765,69724033171,69205697578,68687361984,68156929720,67626497455,67096065191,66565632927,66035200662
10,20,82616801329,82178656829,81740512329,81302367828,80864223328,75100937918,75846510961,76545799984,77200927760,77813889201,78386560851,1.07353E+11,1.36319E+11,1.65285E+11,1.94251E+11,2.23217E+11,1.93328E+11,1.63439E+11,1.33549E+11,1.0366E+11,73771037707,73272638156,72774238605,72275839054,71777439503,71279039952,70760704359,70242368765,69724033171,69205697578,68687361984,68156929720,67626497455,67096065191,66565632927,66035200662
20,30,0,19480832244,38961664488,58442496732,77923328976,90954873984,73860877334,56192845137,37977104977,19238398693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,40,3.66919E+11,3.0962E+11,2.52322E+11,1.95023E+11,1.37725E+11,75100937918,94344215461,1.14074E+11,1.34267E+11,1.54903E+11,1.75962E+11,1.75511E+11,1.75059E+11,1.74608E+11,1.74157E+11,1.73705E+11,1.53718E+11,1.33732E+11,1.13745E+11,93757885873,73771037707,73272638156,72774238605,72275839054,71777439503,71279039952,70760704359,70242368765,69724033171,69205697578,68687361984,68156929720,67626497455,67096065191,66565632927,66035200662
40,50,0,29374240549,58748481098,88122721646,1.17497E+11,1.37147E+11,1.11371E+11,84730576677,57263909620,29008686276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,60,82616801329,82178656829,81740512329,81302367828,80864223328,75100937918,1.03738E+11,1.33132E+11,1.63248E+11,1.94053E+11,2.25516E+11,1.95656E+11,1.65795E+11,1.35934E+11,1.06073E+11,76212641076,78882496464,81552351852,84222207240,86892062627,89561918015,88956222327,88350526638,87744830950,87139135262,86533439573,85904447973,85275456373,84646464773,84017473173,83388481573,82749185368,82109889163,81470592958,80831296753,80192000548
60,70,17328639734,17271519666,17214399598,17157279530,17100159462,15914592158,16089123198,16254322186,16410617127,16558410247,16698079905,46014976174,75331872442,1.04649E+11,1.33966E+11,1.63283E+11,1.30626E+11,97969536749,65313024499,32656512250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
