Policies:,ngps - processing methane capture,ngps - T&D methane capture,,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62623903621,1.25248E+11,1.87872E+11,2.50496E+11,3.1312E+11
-20,-10,3.04331E+11,2.43465E+11,1.82598E+11,1.21732E+11,60866157770,0,0,0,0,0,0,0,0,0,0,0,51452092689,1.02904E+11,1.54356E+11,2.05808E+11,2.5726E+11,2.60984E+11,2.64708E+11,2.68432E+11,2.72156E+11,2.7588E+11,2.93903E+11,3.11925E+11,3.29948E+11,3.4797E+11,3.65993E+11,3.80902E+11,3.95811E+11,4.1072E+11,4.2563E+11,4.40539E+11
-10,0,3.09795E+11,3.72861E+11,4.35927E+11,4.98993E+11,5.62059E+11,3.83142E+11,3.93243E+11,4.03343E+11,4.13444E+11,4.23545E+11,4.33645E+11,4.46711E+11,4.59777E+11,4.72843E+11,4.85909E+11,4.98975E+11,4.58373E+11,4.1777E+11,3.77168E+11,3.36566E+11,2.95963E+11,3.41537E+11,3.87111E+11,4.32684E+11,4.78258E+11,5.23832E+11,5.35335E+11,5.46838E+11,5.58342E+11,5.69845E+11,5.81348E+11,5.29887E+11,4.78425E+11,4.26964E+11,3.75503E+11,3.24041E+11
0,0,7862021253,6289617002,4717212752,3144808501,1572404251,0,0,0,0,0,0,27328772195,54657544390,81986316584,1.09315E+11,1.36644E+11,1.44189E+11,1.51733E+11,1.59278E+11,1.66823E+11,1.74368E+11,1.47337E+11,1.20306E+11,93275385044,66244581133,39213777222,31371021777,23528266333,15685510889,7842755444,0,0,0,0,0,0
0.1,10,0,21406976104,42813952208,64220928311,85627904415,65602125830,77840897253,90079668675,1.02318E+11,1.14557E+11,1.26796E+11,1.10554E+11,94311274628,78068920470,61826566312,45584212154,48861773397,52139334640,55416895883,58694457126,61972018368,65724764708,69477511048,73230257388,76983003728,80735750067,84573994268,88412238469,92250482670,96088726871,99926971072,1.05241E+11,1.10555E+11,1.15869E+11,1.21183E+11,1.26497E+11
10,20,0,5497869788,10995739576,16493609365,21991479153,16848336911,14000629193,11152921474,8305213756,5457506037,2609798319,2472179326,2334560334,2196941342,2059322350,1921703358,4757794449,7593885539,10429976630,13266067720,16102158811,17049642853,17997126895,18944610937,19892094979,20839579021,41009174985,61178770950,81348366915,1.01518E+11,1.21688E+11,1.26184E+11,1.30681E+11,1.35177E+11,1.39673E+11,1.4417E+11
20,30,924176846.2,739341476.9,554506107.7,369670738.5,184835369.2,0,0,0,0,0,0,2009842252,4019684504,6029526757,8039369009,10049211261,19968581190,29887951119,39807321048,49726690977,59646060906,63241881833,66837702759,70433523686,74029344613,77625165540,62100132432,46575099324,31050066216,15525033108,0,0,0,0,0,0
30,40,0,0,0,0,0,0,1316907504,2633815007,3950722511,5267630015,6584537519,14057126728,21529715938,29002305147,36474894357,43947483567,35157986853,26368490140,17578993427,8789496713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,50,0,0,0,0,0,0,5773762672,11547525345,17321288017,23095050689,28868813362,23095050689,17321288017,11547525345,5773762672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,60,0,1144988447,2289976895,3434965342,4579953790,3508841036,2807072829,2105304621,1403536414,701768207.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,80,3899547122,8173941046,12448334970,16722728893,20997122817,15489018281,12391214625,9293410969,6195607313,3097803656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,100,62709529.3,50167623.44,37625717.58,25083811.72,12541905.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
