Policy:,waste - methane capture,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824454863.3,1648909727,2473364590,3297819453,4122274317
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8416413595,16832827189,25249240784,33665654378,42082067973
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830789595,3661579189,5492368784,7323158378,9153947973,26185542348,43217136723,60248731097,77280325472,94311919847
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2937692723,5875385446,8813078170,11750770893,14688463616,32420136296,50151808975,67883481655,85615154335,1.03347E+11,90893440823,78440054632,65986668441,53533282250,41079896059
-350,-300,11709644365,9367715492,7025786619,4683857746,2341928873,0,0,0,0,0,0,734381488.3,1468762977,2203144465,2937525953,3671907441,14650689919,25629472396,36608254873,47587037350,58565819827,73697199295,88828578764,1.0396E+11,1.19091E+11,1.34223E+11,1.21099E+11,1.07976E+11,94852100905,81728562150,68605023395,62045485741,55485948087,48926410433,42366872779,35807335126
-300,-250,1.93226E+11,1.54581E+11,1.15936E+11,77290479162,38645239581,0,5669533132,11339066263,17008599395,22678132527,28347665659,47067194633,65786723608,84506252582,1.03226E+11,1.21945E+11,1.23402E+11,1.24858E+11,1.26314E+11,1.27771E+11,1.29227E+11,1.14951E+11,1.00674E+11,86398156465,72121904932,57845653399,55975056297,54104459194,52233862091,50363264988,48492667886,42129537429,35766406973,29403276517,23040146061,16677015605
-250,-200,94817624817,93277805563,91737986310,90198167057,88658347804,87118528550,1.06167E+11,1.25215E+11,1.44263E+11,1.63311E+11,1.82359E+11,1.66508E+11,1.50657E+11,1.34807E+11,1.18956E+11,1.03105E+11,95141472296,87177524238,79213576179,71249628121,63285680063,59663409609,56041139155,52418868700,48796598246,45174327792,39800723606,34427119420,29053515235,23679911049,18306306863,19832934821,21359562778,22886190736,24412818693,25939446651
-200,-150,50820319850,75842821835,1.00865E+11,1.25888E+11,1.5091E+11,1.75933E+11,1.56634E+11,1.37335E+11,1.18037E+11,98737967271,79439251644,74746798968,70054346291,65361893615,60669440938,55976988262,51746742880,47516497499,43286252117,39056006736,34825761354,34687557428,34549353501,34411149575,34272945648,34134741722,33027343812,31919945903,30812547993,29705150083,28597752174,23354461220,18111170266,12867879311,7624588357,2381297403
-150,-100,42315758844,49571733399,56827707955,64083682510,71339657065,78595631620,72581381097,66567130575,60552880052,54538629530,48524379007,46096049528,43667720048,41239390568,38811061089,36382731609,32785750614,29188769620,25591788625,21994807630,18397826635,15456742613,12515658590,9574574567,6633490544,3692406521,3121954245,2551501969,1981049692,1410597416,840145139.4,693551862.1,546958584.8,400365307.5,253772030.1,107178752.8
-100,-90,677957005.3,3861321639,7044686273,10228050906,13411415540,16594780174,13830300161,11065820149,8301340137,5536860125,2772380112,2320788647,1869197182,1417605717,966014251.8,514422786.6,453720243.5,393017700.4,332315157.3,271612614.1,210910071,178756664.6,146603258.2,114449851.8,82296445.45,50143039.06,43477396.41,36811753.76,30146111.11,23480468.46,16814825.81,14506951.72,12199077.63,9891203.536,7583329.443,5275455.351
-90,-80,83032538.44,833902745.7,1584772953,2335643160,3086513367,3837383575,3212249862,2587116149,1961982437,1336848724,711715011.2,619837796.9,527960582.6,436083368.3,344206154,252328939.7,211593943.7,170858947.6,130123951.6,89388955.58,48653959.54,46058924.91,43463890.28,40868855.65,38273821.02,35678786.39,31471989.18,27265191.97,23058394.75,18851597.54,14644800.33,2800703710,5586762621,8372821531,11158880441,13944939351
-80,-70,270395868.9,831756144.7,1393116421,1954476696,2515836972,3077197248,2533910765,1990624281,1447337798,904051315,360764831.8,342163262.5,323561693.2,304960123.9,286358554.6,267756985.3,224004636.4,180252287.5,136499938.6,92747589.72,48995240.83,45630405.38,42265569.94,38900734.49,35535899.04,32171063.59,2062504644,4092838225,6123171805,8153505386,10183838966,9596882074,9009925181,8422968289,7836011396,7249054504
-70,-60,111214278.6,265323437.5,419432596.5,573541755.4,727650914.4,881760073.3,753876637,625993200.7,498109764.4,370226328.1,242342891.9,205199374.2,168055856.5,130912338.8,93768821.08,56625303.39,51614271.16,46603238.93,41592206.71,36581174.48,31570142.26,2396362873,4761155604,7125948335,9490741066,11855533797,11545368268,11235202738,10925037209,10614871679,10304706150,8766250665,7227795180,5689339696,4150884211,2612428727
-60,-50,4815256151,3934263306,3053270461,2172277616,1291284770,410291925.2,349377531.9,288463138.6,227548745.4,166634352.1,105719958.8,90810317.67,75900676.53,60991035.39,46081394.25,31171753.11,3123546815,6215921877,9308296939,12400672001,15493047064,14457929410,13422811756,12387694103,11352576449,10317458796,8756132259,7194805721,5633479184,4072152647,2510826110,2228427646,1946029182,1663630718,1381232254,1098833790
-50,-40,23062659712,18498623020,13934586327,9370549634,4806512941,242476248.3,2727683086,5212889923,7698096760,10183303597,12668510434,14398324166,16128137897,17857951629,19587765360,21317579092,18836242067,16354905042,13873568018,11392230993,8910893968,7716001199,6521108430,5326215661,4131322893,2936430124,2939098307,2941766491,2944434674,2947102857,2949771041,2423870860,1897970679,1372070498,846170317.6,320270136.7
-40,-30,4080216819,6514161307,8948105796,11382050284,13815994772,16249939260,15676247863,15102556466,14528865069,13955173672,13381482274,11680328004,9979173734,8278019464,6576865195,4875710925,4483634423,4091557921,3699481419,3307404917,2915328415,2770163406,2624998397,2479833389,2334668380,2189503371,1864295612,1539087853,1213880093,888672334.1,563464574.8,483624358.3,403784141.8,323943925.3,244103708.8,164263492.3
-30,-20,3815057074,5500098003,7185138932,8870179861,10555220790,12240261719,10577882697,8915503676,7253124654,5590745633,3928366611,3780749176,3633131741,3485514306,3337896872,3190279437,2856220163,2522160889,2188101615,1854042341,1519983067,1304712669,1089442270,874171871.9,658901473.5,443631075.2,414417942.7,385204810.3,355991677.8,326778545.4,297565412.9,265386919.8,233208426.7,201029933.7,168851440.6,136672947.5
-20,-10,3002106681,3406662396,3811218110,4215773825,4620329540,5024885254,4674482783,4324080311,3973677839,3623275367,3272872895,3097389623,2921906351,2746423079,2570939807,2395456535,2252487981,2109519427,1966550873,1823582319,1680613764,1601417734,1522221703,1443025672,1363829641,1284633610,1239546569,1194459528,1149372487,1104285446,1059198405,1038588637,1017978869,997369100.8,976759332.7,956149564.7
