Unit: 2012 USD,GDP
2015,1.54E+12
2016,1.59E+12
2017,1.64E+12
2018,1.69E+12
2019,1.72E+12
2020,1.71E+12
2021,1.78E+12
2022,1.83E+12
2023,1.88E+12
2024,1.93E+12
2025,1.97E+12
2026,2.01E+12
2027,2.05E+12
2028,2.08E+12
2029,2.11E+12
2030,2.14E+12
2031,2.17E+12
2032,2.19E+12
2033,2.21E+12
2034,2.23E+12
2035,2.24E+12
2036,2.26E+12
2037,2.27E+12
2038,2.28E+12
2039,2.29E+12
2040,2.29E+12
2041,2.30E+12
2042,2.30E+12
2043,2.30E+12
2044,2.31E+12
2045,2.31E+12
2046,2.31E+12
2047,2.31E+12
2048,2.31E+12
2049,2.31E+12
2050,2.30E+12
2051,2.30E+12
2052,2.30E+12
2053,2.30E+12
2054,2.30E+12
2055,2.30E+12
2056,2.30E+12
2057,2.30E+12
2058,2.30E+12
2059,2.30E+12
2060,2.30E+12
