Unit: dimensionless (% change),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
ISIC 01T03,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 05,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 06,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 07T08,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 09,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 10T12,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 13T15,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 16,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 17T18,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 19,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 20,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 21,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 22,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 231,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 239,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 241,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 242,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 25,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
ISIC 26,0,0.033889283,0.031171207,0.028790142,0.027097222,0.025969176,0.025016733,0.024053955,0.023135288,0.02223916,0.02136645,0.020533791,0.019760552,0.019052224,0.018402798,0.017800937,0.017245008,0.016616909,0.016011035,0.015411337,0.01482562,0.014271599,0.013753495,0.013290172,0.012902395,0.012603686,0.012392543,0.012353649,0.012364654,0.012415372,0.012499851,
