,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.127,0.00241574,0.00142797,0.005,0.001,0.345,0.038,0.146,0.033,0.004,0.003499923,0.003871442,0.02,0.000502634,0.000302284,0.000458309,0.00054797,0.005,0.003,0.005,0.005,0.005,0.007,0.02,0.00042866,0.000306575,0.000522561,0.009,0.017,0.006,0.127,0.01,0.004,0.005,0.004,0.002,0.008,0.01,0.011,0.018,0.018,0
ISIC 05,4.3415E-05,1.000274549,3.97617E-06,1.43397E-05,0,6.01769E-05,0.000133288,0.000129813,9.22289E-05,0.000106888,0.161913265,0.017155755,0.000166663,9.25425E-05,9.32291E-05,0.00959684,0.000206103,0.002472759,0.000198713,0.000524858,0.001531313,0.000560163,0.000297087,0.000520489,0.001879803,3.79126E-06,0.000323272,0.000999946,8.65732E-12,1.75512E-05,3.3551E-05,0,1.10026E-11,5.74779E-06,1.28005E-05,3.07835E-05,4.16975E-05,0.000105763,6.50104E-05,6.59603E-05,8.93854E-05,0.000440919
ISIC 06,6.13748E-05,3.73795E-05,1.000000023,5.36738E-06,0,3.35631E-05,0.004412682,0.004640572,9.35094E-05,1.10027E-05,0.161913265,0.017155755,0.000178889,5.39668E-05,4.41729E-05,1.99555E-05,2.94454E-05,4.77392E-05,3.64017E-05,5.24229E-05,5.22836E-05,0.0002253,4.55624E-05,0.004617212,2.68008E-05,1.88241E-06,3.40844E-05,0.000118676,4.23794E-11,8.00837E-06,4.03997E-05,0,4.75408E-11,9.29453E-06,1.34371E-05,1.02182E-05,3.02865E-05,4.481E-05,8.17409E-05,4.78492E-05,0.000154157,0.000143567
ISIC 07T08,0,0.000173382,1.37706E-05,1.002,0.004,0.001,0.001,0.001,0.001,0,0.004,0.002,0.001,0.004885463,0.124969708,0.002935071,0.001166741,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.000107626,7.12252E-06,0.001,0.007,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
ISIC 09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIC 10T12,0.147,0.012929594,0.007709781,0.017,0.008,1.21,0.034,0.029,0.015,0.003,0.016,0.028,0.017,0.002436091,0.001569437,0.002274304,0.002797122,0.014,0.009,0.013,0.014,0.012,0.016,0.016,0.002151024,0.001639455,0.011,0.01,0.022,0.01,0.277,0.015,0.013,0.008,0.013,0.005,0.014,0.013,0.034,0.034,0.039,0
ISIC 13T15,0.013,0.002877961,0.000284925,0.013,0.006,0.017,1.327,0.022,0.027,0.002,0.009,0.015,0.044,0.003775753,0.004824909,0.002355152,0.001604445,0.018,0.013,0.017,0.017,0.022,0.029,0.071,0.001007791,0.000157205,0.013,0.011,0.013,0.014,0.018,0.007,0.007,0.004,0.006,0.003,0.015,0.009,0.007,0.014,0.038,0
ISIC 16,0.002,0.005178574,0.000139887,0.002,0.002,0.003,0.004,1.166,0.003,0,0.001,0.001,0.003,0.009060494,0.004884077,0.001417349,0.00497255,0.004,0.001,0.002,0.003,0.002,0.003,0.039,0.000659373,5.31305E-05,0.001,0.017,0.002,0.001,0.003,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.001,0.003,0
ISIC 17T18,0.008,0.002740184,0.000588579,0.009,0.006,0.038,0.027,0.03,1.373,0.002,0.014,0.032,0.022,0.014354751,0.010288875,0.002597555,0.004102689,0.015,0.008,0.018,0.012,0.011,0.012,0.024,0.001694188,0.000408739,0.008,0.011,0.019,0.008,0.021,0.04,0.014,0.012,0.017,0.005,0.018,0.01,0.012,0.013,0.023,0
ISIC 19,0.033,0.000239229,5.92721E-05,0.05,0.027,0.025,0.032,0.032,0.032,1.043,0.124,0.034,0.07,0.000431945,0.001451235,0.00078648,0.0004475,0.025,0.018,0.026,0.02,0.023,0.024,0.024,0.001089533,3.93453E-05,0.027,0.024,0.029,0.096,0.025,0.014,0.014,0.009,0.007,0.008,0.015,0.015,0.017,0.022,0.023,0
ISIC 20,0.040642517,0.023920855,0.023920855,0.0340,0.02,0.037,0.088,0.084,0.064,0.015,1.217,0.085,0.236277805,0.048514813,0.048514813,0.023237546,0.023237546,0.047,0.051,0.064,0.034,0.047,0.038,0.058,0.091912826,0.069063405,0.025,0.033,0.016,0.016836741,0.025,0.016,0.012,0.008,0.007,0.005,0,0.008,0.011,0.028,0,0
ISIC 21,0.000768673,1.29608E-05,1.29608E-05,0.0010,0.001,0.003,0.004,0.002,0.002,0,0.001,1.053,0.000169813,6.53827E-05,6.53827E-05,3.10045E-05,3.10045E-05,0.002,0.001,0.002,0.002,0.001,0.003,0.002,4.58869E-05,3.63702E-05,0.002,0.001,0.001,4.46328E-05,0.002,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.09,0,0
ISIC 22,0.014,0.007890069,0.000732737,0.017,0.01,0.036,0.046,0.028,0.023,0.003,0.02,0.025,1.175,0.023504106,0.008457802,0.005736583,0.005506007,0.031,0.034,0.063,0.044,0.095,0.035,0.075,0.006158754,0.000384679,0.012,0.048,0.018,0.02,0.024,0.008,0.009,0.005,0.004,0.004,0.012,0.005,0.007,0.011,0.018,0
ISIC 231,0.001140389,0.000737297,0.000169782,9.90433E-05,0,0.004980713,0.001299185,0.000959825,0.000437209,0.000601027,0.001851917,0.002573167,0.005900093,1.12212647,0.000641664,0.000702049,0.00049264,0.001418514,0.044949731,0.008427442,0.003123767,0.006195816,0.002035517,0.009804791,0.000604914,7.17201E-05,0.000624669,0.005235428,3.12649E-10,0.000199853,0.002008978,0,4.05072E-10,0.000136545,0.00022504,0.00017852,0.000963091,0.000988658,0.001212087,0.002353881,0.00360877,0.008940743
ISIC 239,0.000220149,0.000541741,2.77189E-05,3.0251E-05,0,0.000244305,0.000370879,0.00075099,0.002795631,0.000322846,0.001851917,0.002573167,0.000715893,0.003627637,1.125551394,0.008208153,0.001737106,0.00338341,0.002039738,0.003205781,0.002667019,0.001230634,0.001243626,0.002602955,0.000243086,1.40258E-05,0.000282622,0.057539525,5.1427E-11,4.72211E-05,0.000236688,0,4.91741E-11,3.86007E-05,6.08787E-05,0.000557994,0.000254301,0.00141826,0.000334039,0.000421255,0.000780515,0.000830579
ISIC 241,0.005139107,0.056176901,0.000596805,0.001923742,0,0.008373723,0.014844208,0.012454321,0.00575232,0.013350998,0.002455008,0.000644776,0.026297821,0.014715914,0.014805803,2.001867814,0.017448737,0.508235986,0.034864663,0.103139655,0.314484284,0.112307768,0.059820166,0.102313497,0.00920226,0.000697746,0.011727933,0.205081988,5.24123E-10,0.003128302,0.00435457,0,6.72803E-10,0.000650975,0.001277309,0.002728819,0.00596803,0.018190491,0.005132011,0.006215358,0.01388279,0.072211745
ISIC 242,0.000269486,0.001520467,2.94638E-05,8.70852E-05,0,0.000422291,0.000918656,0.000808184,0.00049374,0.000696047,0.002455008,0.000644776,0.002400948,0.000961041,0.000540381,0.004105397,1.348143751,0.019921684,0.008319312,0.043302864,0.010847454,0.00405256,0.00257535,0.003459066,0.00104604,2.29527E-05,0.000435559,0.007273557,4.14962E-11,0.000127876,0.000267118,0,8.74476E-11,4.37266E-05,8.29179E-05,0.000127841,0.000491883,0.000787458,0.000412607,0.001312692,0.000924436,0.002659136
ISIC 25,0.013,0.052329236,0.000927468,0.023,0.023,0.025,0.03,0.044,0.014,0.007,0.014,0.017,0.035,0.022454902,0.015084938,0.015504362,0.013428957,1.145,0.021,0.054,0.119,0.085,0.138,0.068,0.008601823,0.000312996,0.013,0.096,0.009,0.014,0.016,0.006,0.008,0.005,0.004,0.006,0.012,0.007,0.007,0.008,0.015,0
ISIC 26,0.016,0.002374319,8.88599E-05,0.015,0.013,0.022,0.055,0.028,0.021,0.004,0.015,0.021,0.03,0.001996814,0.001284772,0.006318696,0.002090688,0.026,1.169,0.06,0.054,0.049,0.059,0.038,0.005164807,0.000181106,0.013,0.019,0.013,0.021,0.016,0.022,0.037,0.037,0.009,0.005,0.035,0.008,0.012,0.027,0.048,0
ISIC 27,0.005,0.010850423,0.000209353,0.013,0.009,0.01,0.023,0.014,0.011,0.002,0.007,0.01,0.011,0.005661172,0.002909155,0.014266556,0.004041756,0.018,0.028,1.128,0.047,0.082,0.044,0.034,0.020269885,0.000243797,0.012,0.042,0.009,0.009,0.011,0.009,0.03,0.007,0.005,0.005,0.008,0.005,0.006,0.007,0.013,0
ISIC 28,0.014,0.037857094,0.000275681,0.02,0.025,0.011,0.028,0.014,0.01,0.004,0.007,0.01,0.022,0.015022062,0.007006535,0.014532373,0.008734609,0.032,0.015,0.031,1.14,0.035,0.081,0.034,0.012356671,0.000150994,0.018,0.028,0.005,0.012,0.006,0.003,0.005,0.003,0.002,0.003,0.008,0.003,0.004,0.006,0.011,0
