Unit: dimensionless (% of output purchased),government,nonenergy industries (MUST contain remainder),labor and consumers,foreign entities,electricity suppliers (NOT USED),coal suppliers (NOT USED),natural gas and petroleum suppliers (NOT USED),biomass and biofuel suppliers (NOT USED),other energy suppliers (NOT USED)
agriculture and forestry 01T03,2.80942E-05,0.737101699,0.251578103,0.011292104,0,0,0,0,0
coal mining 05,2.72006E-06,0.999384178,0.000563053,5.00491E-05,0,0,0,0,0
oil and gas extraction 06,1.54156E-06,0.99965099,0.000319103,2.83647E-05,0,0,0,0,0
other mining and quarrying 07T08,1.9316E-05,0.989479242,0.001603224,0.008898218,0,0,0,0,0
food beverage and tobacco 10T12,0.005843059,0.591936384,0.352605034,0.049615523,0,0,0,0,0
textiles apparel and leather 13T15,2.74668E-05,0.546964919,0.3401982,0.112809413,0,0,0,0,0
wood products 16,4.66758E-05,0.973656205,0.012154366,0.014142753,0,0,0,0,0
pulp paper and printing 17T18,2.52224E-05,0.88321525,0.028027129,0.088732398,0,0,0,0,0
refined petroleum and coke 19,2.68667E-05,0.562962485,0.083845648,0.353165,0,0,0,0,0
chemicals 20,0.000108807,0.60276986,0.049586276,0.347535057,0,0,0,0,0
rubber and plastic products 22,2.77778E-05,0.79876763,0.01035389,0.190850703,0,0,0,0,0
glass and glass products 231,8.63861E-06,0.969851255,0.001411693,0.028728413,0,0,0,0,0
cement and other nonmetallic minerals 239,1.78982E-05,0.937535267,0.002924865,0.05952197,0,0,0,0,0
iron and steel 241,1.02438E-05,0.801364728,0.001829912,0.196795117,0,0,0,0,0
other metals 242,2.79571E-06,0.924585662,0.000499415,0.074912128,0,0,0,0,0
metal products except machinery and vehicles 25,3.50588E-05,0.868323046,0.015368789,0.116273106,0,0,0,0,0
computers and electronics 26,0.000122939,0.414077574,0.052890303,0.532909185,0,0,0,0,0
appliances and electrical equipment 27,5.1216E-05,0.683934379,0.068204602,0.247809803,0,0,0,0,0
other machinery 28,5.95331E-05,0.679272854,0.017600154,0.303067459,0,0,0,0,0
road vehicles 29,9.77539E-05,0.536596813,0.129118075,0.334187358,0,0,0,0,0
nonroad vehicles 30,0.000200201,0.537450675,0.012630706,0.449718417,0,0,0,0,0
other manufacturing 31T33,0.000205681,0.797354291,0.145057158,0.05738287,0,0,0,0,0
energy pipelines and gas processing 352T353,0.000298252,0.999621587,8.0161E-05,0,0,0,0,0,0
water and waste 36T39,9.81237E-05,0.83716905,0.162725909,6.91763E-06,0,0,0,0,0
construction 41T43,8.10287E-06,0.997497918,0.001992028,0.000501952,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
