Unit: dimensionless (% of output purchased),ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98,
agriculture and forestry 01T03,0.107936805,0,0,7.99989E-05,0,0.637675826,0.031231572,0.021473991,0.011483271,0.001497122,0,0,0.013526672,0,0,0,0,0.000726847,0.000484565,0.000489136,0.000687991,0.00043428,0.000779418,0.002852532,0,0,0,0.007172473,0.036122933,0.003343954,0.082840007,0.000697133,7.08562E-05,0.000319996,0.000548564,0.000946273,0.009659296,0.008397599,0.006386198,0.006068488,0.006066203,0,
coal mining 05,0,0,0,0,0,0,0,0,0,0,0.866080967,0.038879863,0.002924928,0,0,0.090892113,0,0,0,0.001222129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0.060718978,0.721038971,0.062563366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155678686,0,0,0,0,0,0,0,0,0,0,0,0,
other mining and quarrying 07T08,0.000989266,0,0,0.002510077,0,0.001100004,0.000494633,0.000155034,0.001882558,0.038042435,0.045855055,0.002493462,0.001365777,0.000900251,0.054587221,0.570816821,0.102895288,0.033214228,0.010527559,0.021188005,0.015584627,0.005847003,0.005691969,0.00532284,0,0,0.008512115,0.060101584,0.002849676,0.001026179,0.000568459,5.90606E-05,0.000140269,0.000103356,0.000162417,0.001528194,0.000826849,0.001365777,0.00022886,0.000310068,0.000753023,0,
food beverage and tobacco 10T12,0.085020618,0,0,2.85275E-05,0,0.342350412,0.013091287,0.000517775,0.003787031,0.00255892,0.036519545,0.006676851,0.002855606,0,0,0,0,0.000985626,0.001812925,0.000745995,0.001243801,0.000982774,0.001484858,0.001056945,0,0,0.003531709,0.005023699,0.044140658,0.003259271,0.329066565,0.000997037,0.000268159,0.000706057,0.00172449,0.001123985,0.008551129,0.022535328,0.018328942,0.038094246,0.020929227,0,
textiles apparel and leather 13T15,0.005632402,0,0,0.000305256,1.74432E-06,0.004857925,0.47426259,0.002145511,0.007626158,0.002970573,0.02259214,0.005533242,0.03151808,0.000579911,0.004668741,0.004453244,0,0.007601737,0.014305151,0.006535959,0.0093478,0.032149523,0.043074186,0.028024211,0,0,0.008634374,0.022252263,0.054883218,0.013813253,0.014099321,0.007338345,0.001698966,0.002279823,0.010324618,0.001493136,0.022874985,0.030797677,0.011500288,0.059299831,0.030523819,0,
wood products 16,0.004759839,0.000733994,0,0.000522693,0,0.005805225,0.006372402,0.142139036,0.024711129,0.002891491,0,0.022720448,0.014579788,0.006804046,0.007219686,0.001870681,0.003256155,0.019828957,0.015224813,0.009186045,0.014179428,0.024410859,0.048343509,0.132775053,0.010240897,0.000132749,0.004762199,0.341885475,0.028069707,0.005315895,0.006706035,0.002891491,0.000934174,0.002135255,0.001857227,0.043327884,0.014034854,0.004526296,0.006739399,0.003024945,0.015080239,0,
pulp paper and printing 17T18,0.003186936,0,0,0.000416616,0,0.040661031,0.016337053,0.00467536,0.273866412,0.004354886,0.03616747,0.013360009,0.026827236,0.007401756,0.010174463,0.002697288,0.003911598,0.012056945,0.028191031,0.013851599,0.015521625,0.014325189,0.004062898,0.01134478,0,0,0.015610645,0.014535277,0.082066274,0.010386919,0.018441499,0.05620046,0.007125206,0.017497881,0.043360134,0.005729363,0.058230129,0.030402302,0.045831345,0.023159589,0.028030794,0,
refined petroleum and coke 19,0.021513844,0,0,0.002140083,7.17547E-06,0.009163071,0.013206447,0.002715914,0.008782772,0.131381008,0.208497502,0.00534218,0.042392659,0,0,0,0,0.012666493,0.013988573,0.009982869,0.011121974,0.010269887,0.009963136,0.005654268,0,0,0.061813061,0.056273601,0.04828013,0.197583661,0.008366595,0.002168785,0.002645953,0.00417971,0.011511243,0.00632338,0.021698612,0.020769389,0.011683454,0.014388605,0.013523962,0,
chemicals 20,0.025108937,0.000323949,0.000252056,0.001176456,3.05573E-06,0.013653003,0.053675433,0.005987704,0.023987484,0.068784492,0,0,0.216024861,0.008586255,0.018059714,0.044256498,0.018757247,0.026789589,0.047159087,0.027764367,0.020546731,0.027658944,0.029399182,0.013212978,0.015172818,0.004168585,0.001599518,0.04430198,0.02384692,0.033467887,0.006811223,0.003054203,0.000993112,0.001735655,0.003720352,0.007561405,0.022183075,0.010986879,0.010251976,0.099515972,0.019460419,0,
