,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.164,0.003865184,0.002284753,0.009,0.002,0.435,0.058,0.183,0.048,0.017,0.003,0.004,0.033,0.001077072,0.000647752,0.001191602,0.001424721,0.012,0.009,0.012,0.011,0.011,0.016,0.033,0.000857321,0.000613149,0.000522561,0.016,0.025,0.012,0.174,0.017,0.008,0.009,0.008,0.004,0.013,0.014,0.016,0.028,0.027,0
ISIC 05,0.041,1.032,0,0.071,0.055,0.05,0.069,0.068,0.067,0.708,0.23,0.062,0.103,0.102,0.102,0.097,0.097,0.062,0.046,0.062,0.051,0.056,0.058,0.055,0.393,0.393,0.076,0.049,0.044,0.101,0.148,0.115,0.189,0.044,0.103,0.047,0.024,0.027,0.032,0.018,0.04,0
ISIC 06,0.041,0,1.032,0.071,0.055,0.05,0.069,0.068,0.067,0.708,0.23,0.062,0.103,0.102,0.102,0.097,0.097,0.062,0.046,0.062,0.051,0.056,0.058,0.055,0.393,0.393,0.076,0.049,0.044,0.101,0.148,0.115,0.189,0.044,0.103,0.047,0.024,0.027,0.032,0.018,0.04,0
ISIC 07T08,0.003,0.004,0.004,1.005,0.009,0.004,0.007,0.005,0.004,0.004,0.010,0.005,0.008,0.006183164,0.158164787,0.097591106,0.038794141,0.029,0.008,0.02,0.019,0.018,0.024,0.012,0.000430503,2.84901E-05,0.004,0.022,0.002,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.003,0
ISIC 09,0,0,0,0,1.001,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIC 10T12,0.188,0.018316925,0.01092219,0.025,0.013,1.272,0.051,0.047,0.024,0.017,0.030,0.040,0.032,0.00400215,0.002578361,0.004738132,0.005827337,0.024,0.017,0.022,0.024,0.022,0.026,0.027,0.006094568,0.004645123,0.017,0.018,0.031,0.018,0.347,0.021,0.019,0.013,0.017,0.008,0.019,0.018,0.044,0.046,0.052,0
ISIC 13T15,0.024,0.004649015,0.000460263,0.024,0.012,0.03,1.478,0.038,0.045,0.018,0.021,0.026,0.076,0.006663094,0.008514546,0.005253801,0.003579146,0.033,0.024,0.032,0.032,0.041,0.049,0.111,0.003628049,0.00056594,0.023,0.022,0.023,0.03,0.032,0.014,0.014,0.008,0.01,0.006,0.026,0.015,0.012,0.024,0.063,0
ISIC 16,0.003,0.00776786,0.000209831,0.004,0.004,0.006,0.009,1.244,0.006,0.005,0.004,0.003,0.006,0.018120989,0.009768155,0.002834698,0.0099451,0.007,0.003,0.005,0.006,0.005,0.007,0.059,0.001483589,0.000119544,0.003,0.027,0.003,0.003,0.006,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.003,0.003,0.004,0
ISIC 17T18,0.013,0.003958043,0.00085017,0.015,0.01,0.052,0.041,0.044,1.457,0.013,0.024,0.042,0.034,0.020398857,0.014621033,0.005195109,0.008205377,0.023,0.015,0.028,0.02,0.02,0.02,0.035,0.004066051,0.000980975,0.012,0.018,0.025,0.014,0.031,0.049,0.019,0.016,0.02,0.007,0.023,0.012,0.016,0.019,0.029,0
ISIC 19,0.05,0.000433602,0.000107431,0.082,0.046,0.05,0.068,0.064,0.06,1.092,0.207,0.064,0.106,0.000728907,0.002448959,0.002144945,0.001220455,0.052,0.043,0.057,0.046,0.052,0.054,0.052,0.002063158,7.4505E-05,0.047,0.049,0.049,0.144,0.047,0.027,0.027,0.019,0.014,0.014,0.025,0.025,0.029,0.041,0.038,0
ISIC 20,0.041,0.046582717,0.046582717,0.064,0.040,0.076,0.170,0.158,0.118,0.051,1.364,0.149,0.236,0.089706636,0.089706636,0.058093866,0.058093866,0.092,0.103,0.126,0.076,0.102,0.082,0.115,0.201059307,0.151076198,0.049,0.069,0.032,0.017,0.054,0.033,0.028,0.019,0.014,0.011,0.000,0.016,0.022,0.057,0.000,0.000
ISIC 21,0.001,1.29608E-05,1.29608E-05,0.002,0.001,0.004,0.006,0.004,0.003,0.002,0.003,1.071,0.000,0.000130765,0.000130765,9.30134E-05,9.30134E-05,0.003,0.002,0.003,0.003,0.003,0.004,0.003,9.17739E-05,7.27404E-05,0.003,0.002,0.002,0.000,0.003,0.001,0.002,0.001,0.001,0.001,0.000,0.002,0.002,0.122,0.000,0.000
ISIC 22,0.023,0.010674799,0.00099135,0.025,0.015,0.049,0.068,0.042,0.034,0.021,0.034,0.035,1.218,0.034276822,0.012334295,0.011090727,0.010644948,0.044,0.05,0.084,0.062,0.124,0.052,0.096,0.014781009,0.00092323,0.019,0.062,0.024,0.034,0.034,0.013,0.015,0.009,0.007,0.007,0.019,0.008,0.011,0.017,0.027,0
ISIC 231,0.002280777,0.001228828,0.00028297,0.00014149,0,0.007194363,0.002227174,0.001508296,0.000624584,0.003005134,0.003174715,0.00332998,0.009271575,1.148540956,0.000656769,0.001039032,0.000729107,0.002013375,0.066102546,0.011236589,0.004401672,0.00808717,0.003024196,0.012550132,0.001411465,0.000167347,0.00098906,0.006762428,4.16866E-10,0.000399706,0.002846052,0,6.7512E-10,0.00024578,0.00039382,0.00031241,0.001444637,0.001581853,0.001904708,0.003637817,0.006014617,0
ISIC 239,0.000440298,0.000902901,4.61982E-05,4.32157E-05,0,0.000352885,0.000635793,0.001180127,0.003993759,0.001614228,0.003174715,0.00332998,0.001124975,0.003713031,1.1520465,0.012148067,0.002570917,0.004802259,0.002999614,0.004274375,0.003758073,0.001606302,0.001847672,0.003331782,0.000567201,3.27268E-05,0.000447485,0.074321886,6.85694E-11,9.44422E-05,0.000335308,0,8.19569E-11,6.94813E-05,0.000106538,0.00097649,0.000381451,0.002269217,0.000524919,0.00065103,0.001300859,0
ISIC 241,0.012205378,0.101118422,0.001074249,0.004122304,0,0.018679843,0.030183223,0.026040853,0.01294272,0.110145737,0.006710354,0.001370149,0.053569635,0.026402081,0.026563353,2.306175589,0.020101153,0.762353979,0.05113484,0.154709482,0.503174854,0.176483635,0.099700276,0.158120859,0.030116486,0.002283533,0.016419107,0.248716454,1.04825E-09,0.008247342,0.006531855,0,1.12134E-09,0.000976462,0.002554617,0.004093228,0.013428068,0.027285736,0.007698016,0.009323038,0.027765581,0
ISIC 242,0.000640029,0.002736841,5.30348E-05,0.000186611,0,0.000942034,0.001867933,0.00168984,0.001110916,0.00574239,0.006710354,0.001370149,0.00489082,0.00172422,0.000969507,0.004729467,1.553077674,0.029882526,0.012201657,0.064954296,0.017355926,0.006368308,0.004292251,0.005345829,0.003423403,7.51178E-05,0.000609782,0.008821123,8.29924E-11,0.000337127,0.000400678,0,1.45746E-10,6.55899E-05,0.000165836,0.000191761,0.001106736,0.001181186,0.00061891,0.001969038,0.001848872,0
ISIC 25,0.021,0.065833555,0.001166815,0.033,0.031,0.035,0.047,0.059,0.022,0.037,0.030,0.026,0.054,0.032078432,0.021549911,0.027430794,0.023758924,1.171,0.033,0.073,0.149,0.111,0.171,0.087,0.018159404,0.00066077,0.021,0.116,0.014,0.027,0.025,0.011,0.014,0.009,0.007,0.009,0.018,0.011,0.011,0.014,0.023,0
ISIC 26,0.03,0.004273773,0.000159948,0.031,0.026,0.04,0.09,0.05,0.04,0.034,0.038,0.041,0.065,0.004203819,0.002704783,0.014848935,0.004913117,0.052,1.34,0.124,0.111,0.104,0.113,0.075,0.015494421,0.000543317,0.03,0.043,0.028,0.046,0.032,0.047,0.075,0.077,0.019,0.011,0.063,0.018,0.025,0.053,0.077,0
ISIC 27,0.009,0.015672833,0.000302398,0.021,0.016,0.018,0.037,0.024,0.018,0.022,0.019,0.017,0.021,0.009704866,0.004987122,0.029630539,0.008394416,0.029,0.045,1.174,0.071,0.119,0.067,0.051,0.036854336,0.000443267,0.019,0.06,0.015,0.017,0.018,0.014,0.043,0.012,0.008,0.008,0.014,0.008,0.01,0.013,0.02,0
ISIC 28,0.022,0.060125973,0.000437847,0.033,0.039,0.019,0.045,0.025,0.019,0.026,0.020,0.018,0.04,0.026288608,0.012261436,0.031789566,0.019106957,0.053,0.028,0.054,1.214,0.061,0.127,0.057,0.034324086,0.000419429,0.031,0.047,0.01,0.027,0.013,0.007,0.01,0.006,0.005,0.005,0.015,0.006,0.008,0.011,0.02,0
ISIC 29,0.012,0.00436811,0.00033651,0.033,0.015,0.02,0.039,0.027,0.021,0.019,0.019,0.019,0.026,0.011223294,0.037712282,0.010187413,0.013738149,0.028,0.023,0.054,0.05,1.45,0.042,0.03,0.007924204,0.001985824,0.026,0.026,0.018,0.043,0.015,0.011,0.017,0.008,0.006,0.005,0.014,0.01,0.008,0.013,0.015,0
ISIC 30,0.004,0.084998007,0.000263533,0.013,0.004,0.007,0.018,0.009,0.006,0.009,0.006,0.008,0.007,0.001254738,0.003121596,0.003962263,0.000428885,0.01,0.006,0.009,0.013,0.009,1.081,0.01,0.003736157,0.000251011,0.004,0.006,0.003,0.018,0.004,0.003,0.003,0.003,0.001,0.001,0.004,0.005,0.002,0.004,0.004,0
ISIC 31T33,0.003,0.003128602,0.000857696,0.017,0.013,0.024,0.089,0.036,0.024,0.019,0.018,0.021,0.004,0.003032328,0.00298492,0.00257601,0.002992545,0.028,0.022,0.026,0.031,0.024,0.048,1.066,0.00428864,0.001516696,0.012,0.025,0.01,0.005,0.02,0.011,0.011,0.007,0.007,0.007,0.002,0.009,0.022,0.016,0.003,0
ISIC 351,0.002190341,0.000743813,0.000151782,0.000537994,0,0.002380479,0.007408779,0.008180111,0.006887728,0.010080896,0.023336626,0.010171568,0.004303569,0.002317017,0.002505018,0.007136297,0.00881711,0.008994915,0.006033549,0.004548751,0.005948018,0.004626401,0.002059727,0.002806259,1.018802784,5.13775E-05,0.013802302,0.003439483,6.0003E-10,0.000472441,0.002696749,0,8.43312E-10,0.000601967,0.001564576,0.00343013,0.002130784,0.004327281,0.00796058,0.008073402,0.00322412,0
ISIC 352T353,0.000897028,0.000863184,7.94818E-05,0.000218435,0,0.00109417,0.004010066,0.003433215,0.002538744,0.017308079,0.003911023,0.001526367,0.003714484,0.005617912,0.001024086,0.010895544,0.007726945,0.011097283,0.005424323,0.007369802,0.006835984,0.003716925,0.001511596,0.001939413,0.092853814,1.019286054,0.010251493,0.003587497,9.25066E-10,0.000364875,0.0013839,0,1.28966E-09,0.000249775,0.000799606,0.001632934,0.001628821,0.003930176,0.007969044,0.014875152,0.002658906,0
ISIC 36T39,0.000700834,0.000507719,7.6686E-05,0.008,0.006,0.009,0.01,0.009,0.02,0.004,0.010,0.006,0.006370047,0.033288985,0.000794118,0.004473993,0.005762609,0.016,0.005,0.011,0.013,0.01,0.011,0.01,0.031169517,0.000209663,1.033,0.009,0.004,9.82205E-05,0.016,0.005,0.006,0.003,0.004,0.005,0.00052533,0.005,0.007,0.012,0.002203894,0
ISIC 41T43,0.001,0.000334397,9.72922E-05,0.007,0.015,0.005,0.005,0.005,0.004,0.004,0.005,0.004,0.002,0.000591285,0.00022877,0.000702189,0.001275676,0.005,0.003,0.005,0.005,0.005,0.005,0.005,0.001245339,2.67306E-05,0.004,1.005,0.006,0.003,0.007,0.005,0.009,0.003,0.004,0.041,0.002,0.006,0.004,0.004,0.003,0
ISIC 45T47,0.14,0.021166533,0.002054037,0.074,0.052,0.24,0.216,0.17,0.147,0.081,0.146,0.130,0.182,0.018083812,0.020182011,0.013266257,0.010793989,0.114,0.114,0.141,0.132,0.164,0.134,0.153,0.016028326,0.001419901,0.07,0.107,1.071,0.09,0.227,0.061,0.11,0.042,0.035,0.024,0.07,0.038,0.059,0.12,0.109,0
ISIC 49T53,0.038,0.006840815,0.001153126,0.082,0.016,0.067,0.068,0.095,0.084,0.09,0.003,0.005,0.072,0.022136826,0.11114525,0.042846411,0.019795119,0.067,0.057,0.063,0.064,0.056,0.074,0.077,0.005278065,0.001142822,0.0082529,0.064,0.088,1.257,0.046,0.061,0.048,0.046,0.038,0.012,0.048,0.035,0.032,0.038,0.052,0
ISIC 55T56,0.004,0.163560274,0.101318689,0.044,0.024,0.034,0.039,0.044,0.037,0.025,0.033,0.035,0.008,0.027510207,0.017774895,0.031251022,0.039024009,0.036,0.024,0.034,0.036,0.034,0.034,0.039,0.039590718,0.032790175,0.034,0.029,0.063,0.014,1.034,0.04,0.037,0.024,0.038,0.017,0.017,0.025,0.064,0.05,0.02,0
ISIC 58T60,0.003,0,0,0.016,0.014,0.017,0.016,0.016,0.016,0.017,0.019,0.021,0.005,0,0,0,0,0.015,0.012,0.017,0.015,0.016,0.017,0.016,0,0,0.015,0.015,0.029,0.005,0.017,1.114,0.035,0.047,0.021,0.007,0.018,0.016,0.024,0.013,0.02,0
ISIC 61,0.009,0.048947815,0.004749982,0.014,0.011,0.017,0.016,0.02,0.015,0.012,0.015,0.015,0.015,0.045751511,0.051059893,0.034182791,0.027812568,0.014,0.011,0.015,0.014,0.015,0.014,0.015,0.047623759,0.004218844,0.014,0.013,0.04,0.019,0.02,0.03,1.136,0.029,0.032,0.01,0.027,0.013,0.013,0.011,0.029,0
ISIC 62T63,0.005,0.003383433,0.00018214,0.01,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.011,0.011,0.007487298,0.003132927,0.00893201,0.008851786,0.01,0.009,0.01,0.011,0.011,0.01,0.009,0.014215504,0.000617068,0.011,0.009,0.013,0.014,0.009,0.054,0.055,1.087,0.032,0.007,0.022,0.013,0.012,0.007,0.019,0
ISIC 64T66,0.04,0.00526923,0.00095571,0.076,0.043,0.05,0.052,0.064,0.051,0.033,0.041,0.048,0.059,0.010434801,0.013664795,0.026161243,0.026028008,0.054,0.037,0.051,0.059,0.053,0.059,0.046,0.006915032,0.003106607,0.052,0.06,0.061,0.07,0.058,0.038,0.053,0.025,1.176,0.138,0.06,0.051,0.03,0.05,0.065,0
ISIC 68,0.006,0.003656901,0.000731951,0.011,0.007,0.015,0.017,0.015,0.013,0.009,0.012,0.013,0.011,0.008338025,0.007405184,0.006331535,0.005904007,0.012,0.01,0.013,0.012,0.013,0.013,0.014,0.010497178,0.0007548,0.012,0.012,0.041,0.013,0.041,0.014,0.016,0.013,0.026,1.022,0.016,0.009,0.015,0.021,0.022,0
ISIC 69T82,0.045,0.016805489,0.001580641,0.066,0.021,0.085,0.078,0.102,0.097,0.092,0.000,0.000,0.094,0.052534295,0.011929989,0.038359747,0.02820387,0.084,0.095,0.092,0.09,0.08,0.104,0.109,0.043136245,0.003478261,0.009547303,0.109,0.121,0.114,0.084,0.152,0.127,0.142,0.115,0.041,1.172,0.068,0.066,0.081,0.118,0
ISIC 84,0.003,1.0833E-06,6.30682E-07,0.001,0.002,0.003,0.002,0.002,0.002,0.001,0.002,0.006,0.005,4.3616E-07,2.76991E-07,6.40097E-07,7.79456E-07,0.002,0.002,0.002,0.002,0.002,0.002,0.004,2.8895E-07,2.12596E-07,0.002,0.001,0.002,0.007,0.002,0.002,0.002,0.002,0.003,0.001,0.005,1.014,0.001,0.002,0.01,0
ISIC 85,0.002,2.38372E-05,9.38653E-07,0.003,0.002,0.003,0.004,0.004,0.003,0.002,0.003,0.003,0.003,0.000228824,1.77398E-05,0.000337284,0.000186222,0.004,0.002,0.004,0.004,0.004,0.004,0.004,0.000123797,6.20066E-06,0.003,0.003,0.006,0.004,0.004,0.003,0.004,0.002,0.004,0.002,0.006,0.002,1.004,0.003,0.006,0
ISIC 86T88,0.013,3.28512E-06,6.54768E-07,0.006,0.002,0.005,0.005,0.007,0.005,0.004,0.004,0.006,0.022,4.76768E-06,5.64434E-06,8.74967E-05,0.000411617,0.006,0.003,0.005,0.006,0.006,0.005,0.005,1.3872E-05,6.09077E-05,0.006,0.005,0.007,0.03,0.007,0.005,0.005,0.003,0.005,0.002,0.034,0.002,0.004,1.009,0.061,0
ISIC 90T96,0.004,0.013395472,0.000487732,0.009,0.002,0.006,0.007,0.009,0.008,0.008,0.000,0.000,0.007,0.01823584,0.010966011,0.019004288,0.02307339,0.007,0.006,0.007,0.007,0.006,0.009,0.009,0.010105309,0.004543695,0.015359385,0.008,0.01,0.009,0.01,0.031,0.011,0.014,0.009,0.003,0.011,0.007,0.009,0.016,1.056,0
ISIC 97T98,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
