Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CO2 (g),-4.48E+13,-4.49E+13,-4.48E+13,-4.46E+13,-4.46E+13,-4.45E+13,-4.45E+13,-4.45E+13,-4.46E+13,-4.45E+13,-4.45E+13,-4.47E+13,-4.50E+13,-4.52E+13,-4.55E+13,-4.57E+13,-4.59E+13,-4.54E+13,-4.56E+13,-4.58E+13,-4.59E+13,-4.63E+13,-4.66E+13,-4.69E+13,-4.70E+13,-4.71E+13,-4.72E+13,-4.73E+13,-4.74E+13,-4.75E+13,-4.76E+13,-4.76E+13,-4.76E+13,-4.77E+13,-4.77E+13,-4.77E+13
VOCs (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOx (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM10 (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM25 (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOx (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4 (g),3.10E+11,3.00E+11,2.80E+11,2.80E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11,2.65E+11
N2O (g),4.50E+10,7.80E+10,7.60E+10,6.20E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10,7.75E+10
F gases (g CO2e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
