Fuel Economy (passenger*miles/BTU),battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,3.04E-04,2.40E-04,2.48E-04,2.39E-04,1.84E-04,2.70E-04,2.21E-04
HDVs,2.77E-03,2.14E-03,2.25E-03,2.33E-03,1.67E-03,2.41E-03,1.98E-03
aircraft,2.06E-02,0.00E+00,0.00E+00,6.40E-03,0.00E+00,0.00E+00,1.92E-02
rail,7.80E-04,0.00E+00,0.00E+00,5.53E-03,0.00E+00,0.00E+00,1.66E-02
ships,1.02E-03,0.00E+00,0.00E+00,3.18E-04,0.00E+00,0.00E+00,9.54E-04
motorbikes,1.81E-04,0.00E+00,5.63E-05,0.00E+00,0.00E+00,0.00E+00,1.69E-04
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
